time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.44757	0	0	0	0	0	0	0	0	0	0	0	0	-4.38668	0.0792634	0.271197	-4.38332	0.0799373	0.320449	0.0955971	-1.35426	0.855823	0.00799329	0.0351103	0.547725	0	0	0	0	0	-0.0403069	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.49061	0	0	0	0	0	0	0	0	0	0	0	0	-4.39073	0.049407	0.271197	-4.38499	0.0755656	0.326779	0.043657	-0.080304	-0.0429684	0.000382718	0.0213185	0.506652	0	0	0	0	0	-0.0334326	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.51667	0	0	0	0	0	0	0	0	0	0	0	0	-4.39073	0.049407	0.269348	-4.38623	0.0715355	0.329191	0.0576069	-0.0798374	-0.700404	-0.00134411	0.00780865	0.455045	0	0	0	0	0	-0.0334326	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.55466	0	0	0	0	0	0	0	0	0	0	0	0	-4.38782	0.060382	0.255209	-4.38592	0.0710667	0.328899	0.0953542	0.459291	-0.0429684	0.010185	0.0115578	0.409371	0	0	0	0	0	-0.0353425	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.58187	0	0	0	0	0	0	0	0	0	0	0	0	-4.38087	0.0657018	0.2511	-4.3834	0.0716402	0.325252	0.112063	0.459965	-0.700404	0.0300659	0.0167989	0.351453	0	0	0	0	0	-0.0359864	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.62313	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0657018	0.218277	-4.3811	0.0701982	0.316934	0.140104	-0.318916	0.108153	0.0427642	0.00703732	0.296081	0	0	0	0	0	-0.0359864	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.62945	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0657018	0.218277	-4.37915	0.0687641	0.308504	0.151488	-0.313669	0.108153	0.0516395	3.19084e-06	0.244363	0	0	0	0	0	-0.0359864	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.63935	0	0	0	0	0	0	0	0	0	0	0	0	-4.38037	0.0657018	0.218277	-4.37752	0.0673915	0.300092	0.179459	-0.303473	0.0934464	0.0887183	0.00289122	0.169938	0	0	0	-0.180642	0.0532325	-0.0359864	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.64842	0	0	0	0	0	0	0	0	0	0	0	0	-4.37914	0.0591262	0.218277	-4.37665	0.0649512	0.291671	0.0816381	-0.315376	0.130498	0.0718384	-0.00817974	0.131722	0	0	0	-0.180642	0.0532325	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.64933	0	0	0	0	0	0	0	0	0	0	0	0	-4.37914	0.0591262	0.218277	-4.37595	0.0627155	0.283575	0.114427	-0.306	0.128167	0.0640528	-0.0171643	0.0971451	0	0	0	-0.180642	0.053058	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.65937	0	0	0	0	0	0	0	0	0	0	0	0	-4.37914	0.0591262	0.218277	-4.37525	0.0606932	0.275874	0.145944	-0.295944	0.119474	0.0600106	-0.0243591	0.0665897	0	0	0	-0.180816	0.053058	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.66934	0	0	0	0	0	0	0	0	0	0	0	0	-4.37914	0.0591262	0.218277	-4.37451	0.058888	0.268615	0.175038	-0.285573	0.104719	0.0584487	-0.0299592	0.0398224	0	0	0	-0.180991	0.053058	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.67928	0	0	0	0	0	0	0	0	0	0	0	0	-4.37914	0.0591262	0.218277	-4.37372	0.0572985	0.261825	0.200645	-0.275264	0.0844257	0.0587819	-0.0342704	0.0165144	0	0	0	-0.181165	0.053058	-0.0345595	-700	700	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
