time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.97614	0	0	0	0	0	0	0	0	0	0	0	0	-2.76717	-0.280266	0.198534	-0.00928717	-0.00658476	-0.135908	0	0	0	-0.102451	0.0153589	-0.0417525	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.98626	0	0	0	0	0	0	0	0	0	0	0	0	-2.76717	-0.280266	0.198534	-0.00928717	-0.00658476	-0.135908	0	0	0	-0.102451	0.0153589	-0.0417525	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.99615	0	0	0	0	0	0	0	0	0	0	0	0	-2.76717	-0.280266	0.198534	-0.00928717	-0.00658476	-0.135908	0	0	0	-0.102451	0.0153589	-0.0417525	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.00617	0	0	0	0	0	0	0	0	0	0	0	0	-2.76717	-0.280266	0.198534	-0.00928717	-0.00658476	-0.135908	0	0	0	-0.102451	0.0153589	-0.0417525	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.0081	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.01617	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.02627	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.03571	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.03621	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.04615	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
2.05627	0	0	0	0	0	0	0	0	0	0	0	0	-2.76704	-0.280266	0.198534	0.0121385	-0.0312976	0.0616825	0	0	0	-0.102451	0.0153589	-0.0413698	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
