1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
time ;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;timeTe;xTe;
9,92999;-3,90157;0,0298639;0,0817539;0,0225752;0,0458682;-0,0159313;0,0231101;0,0458856;-0,0150921;0,0231101;0,0556283;-0,0150921;;;
9,93495;-3,90157;0,0298639;0,0817539;0,0225752;0,0458682;-0,0159313;0,0231101;0,0458856;-0,0150921;0,0231101;0,0556283;-0,0150921;;;
9,94496;-3,90157;0,0298639;0,0817539;0,0225752;0,0458682;-0,0159313;0,0231101;0,0458856;-0,0150921;0,0231101;0,0556283;-0,0150921;;;
9,95496;-3,90157;0,0298639;0,0817539;0,0225752;0,0458682;-0,0159313;0,0231101;0,0458856;-0,0150921;0,0231101;0,0556283;-0,0150921;;;
9,95981;-3,90157;0,0273535;0,0843586;-0,0218196;-0,0249409;-0,0147778;-0,0225222;-0,0241144;-0,0150921;-0,0225222;-0,101187;-0,0150921;;;
9,96502;-3,90157;0,0273535;0,0843586;-0,0218196;-0,0249409;-0,0147778;-0,0225222;-0,0241144;-0,0150921;-0,0225222;-0,101187;-0,0150921;;;
9,97503;-3,90157;0,0273535;0,0843586;-0,0218196;-0,0249409;-0,0147778;-0,0225222;-0,0241144;-0,0150921;-0,0225222;-0,101187;-0,0150921;;;
9,98501;-3,90157;0,0273535;0,0843586;-0,0218196;-0,0249409;-0,0147778;-0,0225222;-0,0241144;-0,0150921;-0,0225222;-0,101187;-0,0150921;;;
9,99499;-3,90157;0,0273535;0,0843586;-0,0218196;-0,0249409;-0,0147778;-0,0225222;-0,0241144;-0,0150921;-0,0225222;-0,101187;-0,0150921;;;
9,99918;-3,90157;0,0273535;0,0956678;-0,021964;-0,0741442;0,0566693;-0,0225222;-0,0752932;0,0549079;-0,0225222;-0,0752932;0,377029;;;
