time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.14584	0	0	0	0	0	0	0	0	0	0	0	0	-2.65445	-0.153535	0.24401	0.000487688	0.0642278	-0.0811255	0	0	0	0	0	-0.0367899	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.17725	0	0	0	0	0	0	0	0	0	0	0	0	-2.65432	-0.151974	0.241811	0.00621333	-0.0233021	-0.0811255	0	0	0	0	0	-0.037454	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.21658	0	0	0	0	0	0	0	0	0	0	0	0	-2.65432	-0.151974	0.240147	0.0111965	-0.0245585	0.0158972	0	0	0	0	0	-0.037454	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.24165	0	0	0	0	0	0	0	0	0	0	0	0	-2.65392	-0.151974	0.239522	0.0228629	-0.0241213	-0.0349937	0	0	0	0	0	-0.037454	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.27961	0	0	0	0	0	0	0	0	0	0	0	0	-2.65302	-0.149223	0.240147	0.00664026	0.0937146	0.0158972	0	0	0	0	0	-0.0387852	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.30935	0	0	0	0	0	0	0	0	0	0	0	0	-2.65285	-0.145675	0.243457	0.0319725	0.0947488	0.0227708	0	0	0	0	0	-0.0402182	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.34682	0	0	0	0	0	0	0	0	0	0	0	0	-2.6529	-0.145675	0.244134	-0.00465838	0.00326293	0.0227708	0	0	0	0	0	-0.0402182	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.3753	0	0	0	0	0	0	0	0	0	0	0	0	-2.6529	-0.152223	0.244263	-0.0121379	0.00298963	0.0227708	0	0	0	0	0	-0.0379161	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.41158	0	0	0	0	0	0	0	0	0	0	0	0	-2.6529	-0.155533	0.250645	-0.00802871	-0.107803	0.148388	0	0	0	0	0	-0.0370451	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.44185	0	0	0	0	0	0	0	0	0	0	0	0	-2.65179	-0.156121	0.251531	-0.00802871	-0.107803	0.148388	0	0	0	0	0	-0.0370451	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.47862	0	0	0	0	0	0	0	0	0	0	0	0	-2.65179	-0.157469	0.251531	-0.00369286	-0.107638	-0.0616084	0	0	0	0	0	-0.0365518	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.50851	0	0	0	0	0	0	0	0	0	0	0	0	-2.65179	-0.160265	0.251531	-0.00428055	-0.0937833	-0.0616084	0	0	0	0	0	-0.0356862	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.53893	0	0	0	0	0	0	0	0	0	0	0	0	-2.65207	-0.157912	0.249265	-0.0104413	0.0770199	-0.0616084	0	0	0	0	0	-0.0364983	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.57642	0	0	0	0	0	0	0	0	0	0	0	0	-2.6534	-0.157912	0.24393	0.0194042	0.00694922	0.0445755	0	0	0	0	0	-0.0364983	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.60951	0	0	0	0	0	0	0	0	0	0	0	0	-2.65414	-0.157678	0.242259	-0.0331926	0.0108527	-0.226309	0	0	0	0	0	-0.0367036	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.63584	0	0	0	0	0	0	0	0	0	0	0	0	-2.65414	-0.157678	0.242259	-0.0331926	0.0108527	-0.226309	0	0	0	0	0	-0.0367036	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.64188	0	0	0	0	0	0	0	0	0	0	0	0	-2.6534	-0.157678	0.24393	0.0194027	0.00695321	0.0445755	0	0	0	0	0	-0.0367036	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.6456	0	0	0	0	0	0	0	0	0	0	0	0	-2.6534	-0.157678	0.24393	0.0194027	0.00695321	0.0445755	0	0	0	0	0	-0.0367036	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.65559	0	0	0	0	0	0	0	0	0	0	0	0	-2.6534	-0.157678	0.24393	0.0194027	0.00695321	0.0445755	0	0	0	-0.0944223	0.0249582	-0.0367036	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.66559	0	0	0	0	0	0	0	0	0	0	0	0	-2.6534	-0.157678	0.24393	0.0194027	0.00695321	0.0445755	0	0	0	-0.0944223	0.0247837	-0.0367036	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
