time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	gravity
1.77302	0	0	0	0	0	0	0	0	0	-4.03798	0.0987197	0.00403629	0.0250303	-0.0846755	0.107723	0	0	0	0.0148312	-0.0879071	0.107019	-0.0307178	0.0178024	-0.0795767	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.77902	0	0	0	0	0	0	0	0	0	-4.03753	0.0987197	0.0071385	0.0250386	-0.0845465	0.107823	0	0	0	0.0148312	-0.0879071	0.107019	-0.0307178	0.0178024	-0.0794586	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.78293	0	0	0	0	0	0	0	0	0	-4.03753	0.0987197	0.0071385	0.0250386	-0.0845465	0.107823	0	0	0	0.0148312	-0.0879071	0.107019	-0.0303687	0.0181514	-0.0794586	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.79299	0	0	0	0	0	0	0	0	0	-4.03753	0.0987197	0.0071385	0.0250386	-0.0845465	0.107823	0	0	0	0.0148312	-0.0879071	0.107019	-0.0301942	0.018326	-0.0794586	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.80299	0	0	0	0	0	0	0	0	0	-4.03753	0.0987197	0.0071385	0.0250386	-0.0845465	0.107823	0	0	0	0.0148312	-0.0879071	0.107019	-0.0298451	0.0185005	-0.0794586	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.81158	0	0	0	0	0	0	0	0	0	-4.03753	0.0960379	0.0071385	0.00867018	-0.0895286	-0.12519	0	0	0	0.00554456	-0.0879071	-0.126509	-0.0298451	0.0185005	-0.0788412	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.81301	0	0	0	0	0	0	0	0	0	-4.03753	0.0960379	0.0071385	0.00867018	-0.0895286	-0.12519	0	0	0	0.00554456	-0.0879071	-0.126509	-0.0294961	0.018675	-0.0788412	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.82296	0	0	0	0	0	0	0	0	0	-4.03753	0.0960379	0.0071385	0.00867018	-0.0895286	-0.12519	0	0	0	0.00554456	-0.0879071	-0.126509	-0.029147	0.018675	-0.0788412	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.83298	0	0	0	0	0	0	0	0	0	-4.03753	0.0960379	0.0071385	0.00867018	-0.0895286	-0.12519	0	0	0	0.00554456	-0.0879071	-0.126509	-0.0289725	0.018675	-0.0788412	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.84297	0	0	0	0	0	0	0	0	0	-4.03753	0.0960379	0.0071385	0.00867018	-0.0895286	-0.12519	0	0	0	0.00554456	-0.0879071	-0.126509	-0.0287979	0.0188496	-0.0788412	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.84323	0	0	0	0	0	0	0	0	0	-4.03819	0.0843976	-0.00222718	-0.00675924	0.10189	-0.12831	0	0	0	0.00471098	0.10423	-0.126509	-0.0287979	0.0188496	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.85302	0	0	0	0	0	0	0	0	0	-4.03819	0.0843976	-0.00222718	-0.00675924	0.10189	-0.12831	0	0	0	0.00471098	0.10423	-0.126509	-0.0287979	0.0188496	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.86301	0	0	0	0	0	0	0	0	0	-4.03819	0.0843976	-0.00222718	-0.00675924	0.10189	-0.12831	0	0	0	0.00471098	0.10423	-0.126509	-0.0287979	0.0190241	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.87298	0	0	0	0	0	0	0	0	0	-4.03819	0.0843976	-0.00222718	-0.00675924	0.10189	-0.12831	0	0	0	0.00471098	0.10423	-0.126509	-0.0287979	0.0190241	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.8825	0	0	0	0	0	0	0	0	0	-4.03834	0.0841056	-0.00222718	-0.0136162	-0.00769347	0.0466975	0	0	0	-0.01555	-0.00743951	0.0461314	-0.0287979	0.0190241	-0.0747759	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.88293	0	0	0	0	0	0	0	0	0	-4.03834	0.0841056	-0.00222718	-0.0136162	-0.00769347	0.0466975	0	0	0	-0.01555	-0.00743951	0.0461314	-0.0289725	0.0191986	-0.0747759	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.89308	0	0	0	0	0	0	0	0	0	-4.03834	0.0841056	-0.00222718	-0.0136162	-0.00769347	0.0466975	0	0	0	-0.01555	-0.00743951	0.0461314	-0.0287979	0.0191986	-0.0747759	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.90298	0	0	0	0	0	0	0	0	0	-4.03834	0.0841056	-0.00222718	-0.0136162	-0.00769347	0.0466975	0	0	0	-0.01555	-0.00743951	0.0461314	-0.029147	0.0190241	-0.0747759	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.9113	0	0	0	0	0	0	0	0	0	-4.0388	0.0843976	-0.00222718	-0.0296787	0.206221	0.0431011	0	0	0	-0.01555	0.207113	0.0461314	-0.029147	0.0190241	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.91301	0	0	0	0	0	0	0	0	0	-4.0388	0.0843976	-0.00222718	-0.0296787	0.206221	0.0431011	0	0	0	-0.01555	0.207113	0.0461314	-0.0294961	0.0190241	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.92297	0	0	0	0	0	0	0	0	0	-4.0388	0.0843976	-0.00222718	-0.0296787	0.206221	0.0431011	0	0	0	-0.01555	0.207113	0.0461314	-0.0300197	0.018675	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.93297	0	0	0	0	0	0	0	0	0	-4.0388	0.0843976	-0.00222718	-0.0296787	0.206221	0.0431011	0	0	0	-0.01555	0.207113	0.0461314	-0.0308923	0.0185005	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.94297	0	0	0	0	0	0	0	0	0	-4.0388	0.0843976	-0.00222718	-0.0296787	0.206221	0.0431011	0	0	0	-0.01555	0.207113	0.0461314	-0.0312414	0.018326	-0.0750539	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.94808	0	0	0	0	0	0	0	0	0	-4.0388	0.0915252	0.00952118	-0.00558485	-0.00310745	0.299696	0	0	0	-0.01555	-0.00743951	0.299268	-0.0312414	0.018326	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.95295	0	0	0	0	0	0	0	0	0	-4.0388	0.0915252	0.00952118	-0.00558485	-0.00310745	0.299696	0	0	0	-0.01555	-0.00743951	0.299268	-0.0321141	0.0181514	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.96299	0	0	0	0	0	0	0	0	0	-4.0388	0.0915252	0.00952118	-0.00558485	-0.00310745	0.299696	0	0	0	-0.01555	-0.00743951	0.299268	-0.0328122	0.0178024	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.97297	0	0	0	0	0	0	0	0	0	-4.0388	0.0915252	0.00952118	-0.00558485	-0.00310745	0.299696	0	0	0	-0.01555	-0.00743951	0.299268	-0.0336849	0.0176278	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.97616	0	0	0	0	0	0	0	0	0	-4.03809	0.0915252	0.00826055	-0.0327235	-0.0392254	-0.470166	0	0	0	-0.0191498	-0.0295629	-0.471619	-0.0336849	0.0176278	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.98297	0	0	0	0	0	0	0	0	0	-4.03809	0.0915252	0.00826055	-0.0327235	-0.0392254	-0.470166	0	0	0	-0.0191498	-0.0295629	-0.471619	-0.0340339	0.0174533	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
1.99304	0	0	0	0	0	0	0	0	0	-4.03809	0.0915252	0.00826055	-0.0327235	-0.0392254	-0.470166	0	0	0	-0.0191498	-0.0295629	-0.471619	-0.0350811	0.0172788	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.003	0	0	0	0	0	0	0	0	0	-4.03809	0.0915252	0.00826055	-0.0327235	-0.0392254	-0.470166	0	0	0	-0.0191498	-0.0295629	-0.471619	-0.0359538	0.0171042	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.01301	0	0	0	0	0	0	0	0	0	-4.03809	0.0915252	0.00826055	-0.0327235	-0.0392254	-0.470166	0	0	0	-0.0191498	-0.0295629	-0.471619	-0.037001	0.0169297	-0.0760091	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.01596	0	0	0	0	0	0	0	0	0	-4.03809	0.0843603	0.00826055	0.00199734	-0.0845616	-0.0869571	0	0	0	-0.000884883	-0.0832393	-0.0882418	-0.037001	0.0169297	-0.0739229	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.02295	0	0	0	0	0	0	0	0	0	-4.03809	0.0843603	0.00826055	0.00199734	-0.0845616	-0.0869571	0	0	0	-0.000884883	-0.0832393	-0.0882418	-0.0375246	0.0167552	-0.0739229	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.033	0	0	0	0	0	0	0	0	0	-4.03809	0.0843603	0.00826055	0.00199734	-0.0845616	-0.0869571	0	0	0	-0.000884883	-0.0832393	-0.0882418	-0.0387463	0.0164061	-0.0739229	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.043	0	0	0	0	0	0	0	0	0	-4.03809	0.0843603	0.00826055	0.00199734	-0.0845616	-0.0869571	0	0	0	-0.000884883	-0.0832393	-0.0882418	-0.039619	0.016057	-0.0739229	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.0454	0	0	0	0	0	0	0	0	0	-4.03813	0.0843603	0.00474843	-0.0257967	-0.089615	-0.322437	0	0	0	-0.0191498	-0.0832393	-0.324602	-0.039619	0.016057	-0.0739229	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
2.05294	0	0	0	0	0	0	0	0	0	-4.03813	0.0843603	0.00474843	-0.0257967	-0.089615	-0.322437	0	0	0	-0.0191498	-0.0832393	-0.324602	-0.0401426	0.0158825	-0.0739229	-900	900	-800	-14	14	-5	0	0	0	0.2	0.2	2440	
