time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	dxNED	dyNED	dzNED	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	gravity
1.55404	0	0	0	0	0	0	0	0	0	0	0	0	-3.40499	0.0105297	0.0146204	0.0010092	-0.11782	0.067077	0	0	0	-0.00631773	-0.117655	0.067077	0	0	-0.0622111	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.58068	0	0	0	0	0	0	0	0	0	0	0	0	-3.40524	0.0130095	0.0165818	-0.027896	0.0775072	0.067077	0	0	0	-0.0229639	0.0791089	0.067077	0	0	-0.0629623	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.61574	0	0	0	0	0	0	0	0	0	0	0	0	-3.40585	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	0	0	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.63398	0	0	0	0	0	0	0	0	0	0	0	0	-3.40585	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	0	0	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.64381	0	0	0	0	0	0	0	0	0	0	0	0	-3.40585	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	0	0	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.64647	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	0	0	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.65388	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	-0.0546288	0.0155334	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.66392	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	-0.0546288	0.0153589	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.67388	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	-0.0544543	0.0150098	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.68385	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0156209	0.0146134	-0.0259007	0.0452868	-0.0561483	0	0	0	-0.0229639	0.0468444	-0.0561483	-0.0544543	0.0150098	-0.0637311	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.687	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0165498	0.0146134	-0.00970299	0.0401825	-0.0563123	0	0	0	-0.00401748	0.0413652	-0.0561483	-0.0544543	0.0150098	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.69388	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0165498	0.0146134	-0.00970299	0.0401825	-0.0563123	0	0	0	-0.00401748	0.0413652	-0.0561483	-0.0544543	0.0148353	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.70382	0	0	0	0	0	0	0	0	0	0	0	0	-3.40668	0.0165498	0.0146134	-0.00970299	0.0401825	-0.0563123	0	0	0	-0.00401748	0.0413652	-0.0561483	-0.0542797	0.0146608	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.71282	0	0	0	0	0	0	0	0	0	0	0	0	-3.4068	0.0165498	0.00827996	-0.0178256	0.0380079	-0.20596	0	0	0	-0.00401748	0.0413652	-0.206045	-0.0542797	0.0146608	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.71386	0	0	0	0	0	0	0	0	0	0	0	0	-3.4068	0.0165498	0.00827996	-0.0178256	0.0380079	-0.20596	0	0	0	-0.00401748	0.0413652	-0.206045	-0.0541052	0.0146608	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.72384	0	0	0	0	0	0	0	0	0	0	0	0	-3.4068	0.0165498	0.00827996	-0.0178256	0.0380079	-0.20596	0	0	0	-0.00401748	0.0413652	-0.206045	-0.0541052	0.0144862	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.73381	0	0	0	0	0	0	0	0	0	0	0	0	-3.4068	0.0165498	0.00827996	-0.0178256	0.0380079	-0.20596	0	0	0	-0.00401748	0.0413652	-0.206045	-0.0537561	0.0143117	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.74383	0	0	0	0	0	0	0	0	0	0	0	0	-3.4068	0.0165498	0.00827996	-0.0178256	0.0380079	-0.20596	0	0	0	-0.00401748	0.0413652	-0.206045	-0.0537561	0.0143117	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.74731	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0165498	0.0166042	0.0180362	0.0448252	0.20409	0	0	0	0.00967842	0.0413652	0.205384	-0.0537561	0.0143117	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.75386	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0165498	0.0166042	0.0180362	0.0448252	0.20409	0	0	0	0.00967842	0.0413652	0.205384	-0.0535816	0.0141372	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.76386	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0165498	0.0166042	0.0180362	0.0448252	0.20409	0	0	0	0.00967842	0.0413652	0.205384	-0.0535816	0.0141372	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.77393	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0165498	0.0166042	0.0180362	0.0448252	0.20409	0	0	0	0.00967842	0.0413652	0.205384	-0.0534071	0.0137881	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.78385	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0165498	0.0166042	0.0180362	0.0448252	0.20409	0	0	0	0.00967842	0.0413652	0.205384	-0.0534071	0.0136136	-0.0640496	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.7848	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0154839	0.0169919	0.0136652	0.0466179	0.285942	0	0	0	0.00108865	0.042739	0.286871	-0.0534071	0.0136136	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.79389	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0154839	0.0169919	0.0136652	0.0466179	0.285942	0	0	0	0.00108865	0.042739	0.286871	-0.0532325	0.0136136	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.80386	0	0	0	0	0	0	0	0	0	0	0	0	-3.40792	0.0154839	0.0169919	0.0136652	0.0466179	0.285942	0	0	0	0.00108865	0.042739	0.286871	-0.0532325	0.013439	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.81155	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0154839	0.0199523	0.0136152	0.046568	0.285952	0	0	0	0.00108865	0.042739	0.286871	-0.0532325	0.013439	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.81385	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0154839	0.0199523	0.0136152	0.046568	0.285952	0	0	0	0.00108865	0.042739	0.286871	-0.0532325	0.013439	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
1.82392	0	0	0	0	0	0	0	0	0	0	0	0	-3.40788	0.0154839	0.0199523	0.0136152	0.046568	0.285952	0	0	0	0.00108865	0.042739	0.286871	-0.053058	0.0132645	-0.0640887	-850	820	-600	-16	14	-10	0	0	0	0.2	0.2	165	2540	
