time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dxr	dyr	dzr	dxk	dyk	dzk	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.08278	0	0	0	0	0	0	0	0	0	0	0	0	-3.19238	-0.185287	0.292364	-3.19002	-0.209004	0.227876	0.0159404	-0.0441035	0.067809	0.0537212	-0.112683	0.991045	0	0	0	0	0	-0.0339207	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.11555	0	0	0	0	0	0	0	0	0	0	0	0	-3.1929	-0.187771	0.292364	-3.19007	-0.208573	0.26349	-0.0147622	-0.0438315	0.0388696	0.0394989	-0.101255	0.992724	0	0	0	0	0	-0.032834	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.14954	0	0	0	0	0	0	0	0	0	0	0	0	-3.19251	-0.189192	0.293638	-3.19001	-0.208227	0.294668	0.0131562	-0.0429213	0.067809	0.032524	-0.090588	0.979015	0	0	0	0	0	-0.0322563	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.17872	0	0	0	0	0	0	0	0	0	0	0	0	-3.19256	-0.189192	0.299328	-3.19026	-0.207269	0.317519	-0.00120297	-0.0112786	0.0694266	0.0245189	-0.080278	0.95734	0	0	0	0	0	-0.0322563	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.21882	0	0	0	0	0	0	0	0	0	0	0	0	-3.19256	-0.188872	0.301354	-3.19045	-0.206791	0.344977	-0.00126429	-0.00941137	0.073573	0.0168082	-0.0696513	0.919942	0	0	0	0	0	-0.0321422	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.24437	0	0	0	0	0	0	0	0	0	0	0	0	-3.19304	-0.188872	0.304304	-3.19104	-0.205324	0.356494	-0.0115791	-0.00974303	0.073573	0.00989609	-0.0605104	0.881534	0	0	0	0	0	-0.0321422	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.27871	0	0	0	0	0	0	0	0	0	0	0	0	-3.19304	-0.189485	0.306334	-3.19151	-0.204428	0.37212	-0.0115822	-0.00973936	0.073573	0.00430664	-0.0520281	0.834482	0	0	0	0	0	-0.0318256	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.31069	0	0	0	0	0	0	0	0	0	0	0	0	-3.19346	-0.192204	0.306334	-3.19214	-0.204011	0.382235	-0.0189226	-0.101142	0.0157403	-0.00140913	-0.047109	0.782746	0	0	0	0	0	-0.0310638	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.34974	0	0	0	0	0	0	0	0	0	0	0	0	-3.19346	-0.192262	0.306875	-3.19264	-0.203468	0.393595	-0.0097492	0.0109157	0.0157403	-0.00361408	-0.0398213	0.723272	0	0	0	0	0	-0.0309058	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
1.37666	0	0	0	0	0	0	0	0	0	0	0	0	-3.19346	-0.192699	0.313657	-3.19299	-0.202808	0.395658	-0.0063077	-0.100747	0.0487046	-0.00499718	-0.0358355	0.670827	0	0	0	0	0	-0.0308	-150	150	-200	-0	0	-0	-600	600	-600	0.4	0.4	177	-1	-1	2561	
