time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.48423	0	0	0	0	0	0	0	0	0	0	0	0	-2.84371	-0.316651	0.174105	-0.0209605	0.0244166	0.183736	0	0	0	0	0	-0.0109566	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.51402	0	0	0	0	0	0	0	0	0	0	0	0	-2.84443	-0.322497	0.173315	-0.0189336	-0.196356	-0.0265099	0	0	0	0	0	-0.00895794	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.55284	0	0	0	0	0	0	0	0	0	0	0	0	-2.84443	-0.316651	0.173315	-0.00125433	0.175742	-0.0175713	0	0	0	0	0	-0.0109566	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.57617	0	0	0	0	0	0	0	0	0	0	0	0	-2.8444	-0.322497	0.172633	0.0222056	-0.195987	-0.0265099	0	0	0	0	0	-0.00895794	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.6199	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	0.0011041	-0.0586524	-0.0420725	0	0	0	0	0	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.63859	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	0.0011041	-0.0586524	-0.0420725	0	0	0	0	0	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.64341	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	-0.0094892	-0.0587306	-0.0420725	0	0	0	0	0	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.64847	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	-0.0094892	-0.0587306	-0.0420725	0	0	0	0	0	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.6586	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	-0.0094892	-0.0587306	-0.0420725	0	0	0	-0.0678933	0.00925025	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.66848	0	0	0	0	0	0	0	0	0	0	0	0	-2.84389	-0.327143	0.169324	-0.0094892	-0.0587306	-0.0420725	0	0	0	-0.0675442	0.00959931	-0.00737942	-700	700	-500	-0	0	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
