time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dx	dy	dz	dxd	dyd	dzd	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.6734	0	0	0	0	0	0	0	0	0	0	0	0	-3.19537	-0.172279	0.274667	0.014852	0.0762521	0.112406	0	0	0	-0.113272	0.0148353	-0.0526684	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.67696	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170158	0.267175	-0.0333745	0.0713681	-0.265256	0	0	0	-0.113272	0.0148353	-0.0529904	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.68338	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170158	0.267175	-0.0333745	0.0713681	-0.265256	0	0	0	-0.113097	0.0148353	-0.0529904	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.6935	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170158	0.267175	-0.0333745	0.0713681	-0.265256	0	0	0	-0.112923	0.0151844	-0.0529904	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.70341	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170158	0.267175	-0.0333745	0.0713681	-0.265256	0	0	0	-0.112748	0.0153589	-0.0529904	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.71118	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170568	0.260152	-0.0133353	-0.10816	-0.17059	0	0	0	-0.112748	0.0153589	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.71345	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170568	0.260152	-0.0133353	-0.10816	-0.17059	0	0	0	-0.112748	0.0155334	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.72339	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170568	0.260152	-0.0133353	-0.10816	-0.17059	0	0	0	-0.112574	0.015708	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.73337	0	0	0	0	0	0	0	0	0	0	0	0	-3.19535	-0.170568	0.260152	-0.0133353	-0.10816	-0.17059	0	0	0	-0.112574	0.016057	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.74125	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.165763	0.260152	-0.0271297	0.156893	-0.173212	0	0	0	-0.112574	0.016057	-0.0530493	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.74348	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.165763	0.260152	-0.0271297	0.156893	-0.173212	0	0	0	-0.112399	0.0162316	-0.0530493	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.75337	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.165763	0.260152	-0.0271297	0.156893	-0.173212	0	0	0	-0.11205	0.0164061	-0.0530493	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.76343	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.165763	0.260152	-0.0271297	0.156893	-0.173212	0	0	0	-0.11205	0.0164061	-0.0530493	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.77342	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.165763	0.260152	-0.0271297	0.156893	-0.173212	0	0	0	-0.111701	0.0164061	-0.0530493	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.77457	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.170568	0.254245	-0.0203215	-0.208421	-0.168044	0	0	0	-0.111701	0.0164061	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.78337	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.170568	0.254245	-0.0203215	-0.208421	-0.168044	0	0	0	-0.111352	0.0164061	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.7934	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.170568	0.254245	-0.0203215	-0.208421	-0.168044	0	0	0	-0.111177	0.0164061	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.80343	0	0	0	0	0	0	0	0	0	0	0	0	-3.19425	-0.170568	0.254245	-0.0203215	-0.208421	-0.168044	0	0	0	-0.111003	0.0164061	-0.0514593	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.80804	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.172609	0.267102	0.0479245	-0.198361	0.444979	0	0	0	-0.111003	0.0164061	-0.0504316	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.81338	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.172609	0.267102	0.0479245	-0.198361	0.444979	0	0	0	-0.110654	0.0164061	-0.0504316	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.82349	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.172609	0.267102	0.0479245	-0.198361	0.444979	0	0	0	-0.110479	0.0162316	-0.0504316	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.83343	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.172609	0.267102	0.0479245	-0.198361	0.444979	0	0	0	-0.11013	0.016057	-0.0504316	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.84324	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.185984	0.261226	0.10443	-0.202688	-0.176294	0	0	0	-0.11013	0.016057	-0.0460673	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.8435	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.185984	0.261226	0.10443	-0.202688	-0.176294	0	0	0	-0.11013	0.015708	-0.0460673	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.85338	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.185984	0.261226	0.10443	-0.202688	-0.176294	0	0	0	-0.109781	0.0151844	-0.0460673	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.86341	0	0	0	0	0	0	0	0	0	0	0	0	-3.19498	-0.185984	0.261226	0.10443	-0.202688	-0.176294	0	0	0	-0.109432	0.0146608	-0.0460673	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.87254	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.261226	0.11728	-0.0782671	-0.148589	0	0	0	-0.109432	0.0146608	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.87339	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.261226	0.11728	-0.0782671	-0.148589	0	0	0	-0.109432	0.0144862	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.88338	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.261226	0.11728	-0.0782671	-0.148589	0	0	0	-0.109083	0.0141372	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.89347	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.261226	0.11728	-0.0782671	-0.148589	0	0	0	-0.108909	0.0136136	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.9034	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.261226	0.11728	-0.0782671	-0.148589	0	0	0	-0.108734	0.01309	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.90644	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.257242	0.113193	-0.0599745	-0.17954	0	0	0	-0.108734	0.01309	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.91344	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.257242	0.113193	-0.0599745	-0.17954	0	0	0	-0.108559	0.0129154	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.92339	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.257242	0.113193	-0.0599745	-0.17954	0	0	0	-0.108385	0.0123918	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.93341	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.257242	0.113193	-0.0599745	-0.17954	0	0	0	-0.10821	0.0120428	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.94336	0	0	0	0	0	0	0	0	0	0	0	0	-3.18769	-0.188221	0.257242	0.113193	-0.0599745	-0.17954	0	0	0	-0.10821	0.0116937	-0.0454042	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.94539	0	0	0	0	0	0	0	0	0	0	0	0	-3.18999	-0.174443	0.250695	-0.0947262	0.0750016	-0.127412	0	0	0	-0.10821	0.0116937	-0.0493195	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.95345	0	0	0	0	0	0	0	0	0	0	0	0	-3.18999	-0.174443	0.250695	-0.0947262	0.0750016	-0.127412	0	0	0	-0.108036	0.0115192	-0.0493195	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.96343	0	0	0	0	0	0	0	0	0	0	0	0	-3.18999	-0.174443	0.250695	-0.0947262	0.0750016	-0.127412	0	0	0	-0.108036	0.0111701	-0.0493195	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.97185	0	0	0	0	0	0	0	0	0	0	0	0	-3.19298	-0.17178	0.250695	-0.101303	0.0753812	-0.0118019	0	0	0	-0.108036	0.0111701	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.97341	0	0	0	0	0	0	0	0	0	0	0	0	-3.19298	-0.17178	0.250695	-0.101303	0.0753812	-0.0118019	0	0	0	-0.107861	0.010821	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.9834	0	0	0	0	0	0	0	0	0	0	0	0	-3.19298	-0.17178	0.250695	-0.101303	0.0753812	-0.0118019	0	0	0	-0.107861	0.010821	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
1.9935	0	0	0	0	0	0	0	0	0	0	0	0	-3.19298	-0.17178	0.250695	-0.101303	0.0753812	-0.0118019	0	0	0	-0.107861	0.010821	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
2.0034	0	0	0	0	0	0	0	0	0	0	0	0	-3.19298	-0.17178	0.250695	-0.101303	0.0753812	-0.0118019	0	0	0	-0.107861	0.010821	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
2.0116	0	0	0	0	0	0	0	0	0	0	0	0	-3.19551	-0.171403	0.249845	-0.078917	0.00552331	-0.0134612	0	0	0	-0.107861	0.010821	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
2.01342	0	0	0	0	0	0	0	0	0	0	0	0	-3.19551	-0.171403	0.249845	-0.078917	0.00552331	-0.0134612	0	0	0	-0.107861	0.010821	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
2.02337	0	0	0	0	0	0	0	0	0	0	0	0	-3.19551	-0.171403	0.249845	-0.078917	0.00552331	-0.0134612	0	0	0	-0.108036	0.0109956	-0.049727	-760	760	-500	-0	0	-10	0	0	0	0.4	0.2	175	-33	-33	2560	
