time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	xk	yk	zk	dx	dy	dz	dxd	dyd	dzd	dxk	dyk	dzk	pitch	roll	yaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.14562	0	0	0	0	0	0	0	0	0	0	0	0	-4.26141	-0.0461462	0.212614	-4.25702	-0.040348	0.166743	0.0383553	-0.0367162	-0.525054	0.119101	-0.103262	1.02709	0	0	0	0	0	0.0253658	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.18124	0	0	0	0	0	0	0	0	0	0	0	0	-4.26094	-0.0461462	0.197375	-4.25577	-0.0439425	0.199385	0.024735	0.0139939	-0.0986906	0.0970875	-0.101773	1.01078	0	0	0	0	0	0.0253658	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.21374	0	0	0	0	0	0	0	0	0	0	0	0	-4.26071	-0.0370149	0.197375	-4.25521	-0.0453906	0.226107	0.0246945	0.0140653	-0.0986906	0.0779402	-0.0945245	0.979433	0	0	0	0	0	0.0224738	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.24727	0	0	0	0	0	0	0	0	0	0	0	0	-4.25958	-0.0252508	0.19417	-4.25488	-0.0434076	0.246959	0.0266411	0.419864	-0.0986906	0.062082	-0.0744471	0.935506	0	0	0	0	0	0.0201636	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.28218	0	0	0	0	0	0	0	0	0	0	0	0	-4.25897	-0.0229246	0.19417	-4.25477	-0.0416879	0.262358	0.0200672	0.0988679	-0.44384	0.048969	-0.061827	0.878086	0	0	0	0	0	0.0191507	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.31235	0	0	0	0	0	0	0	0	0	0	0	0	-4.25869	-0.0229246	0.190513	-4.25486	-0.0399164	0.273006	0.0200672	0.0988679	-0.44384	0.0380092	-0.0498304	0.814546	0	0	0	0	0	0.0191507	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.34375	0	0	0	0	0	0	0	0	0	0	0	0	-4.25869	-0.0199357	0.178674	-4.25519	-0.0376235	0.278146	0.00982899	0.0990722	-0.44384	0.0274778	-0.0375293	0.742608	0	0	0	0	0	0.0181295	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.38031	0	0	0	0	0	0	0	0	0	0	0	0	-4.25955	-0.0393029	0.177425	-4.2558	-0.0402735	0.282106	0.00677943	-0.529958	0.392412	0.0188738	-0.0470749	0.682993	0	0	0	0	0	0.0219816	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.40986	0	0	0	0	0	0	0	0	0	0	0	0	-4.26022	-0.0199357	0.166105	-4.25751	-0.0364204	0.28013	-0.101898	0.641305	-0.382974	-0.00593527	-0.0229637	0.60381	0	0	0	0	0	0.0179993	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.44513	0	0	0	0	0	0	0	0	0	0	0	0	-4.26101	0.00677175	0.166105	-4.25845	-0.0290141	0.276366	0.0218417	0.304088	-0.382974	-0.00317144	0.00155327	0.529813	0	0	0	0	0	0.0112276	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.47589	0	0	0	0	0	0	0	0	0	0	0	0	-4.26101	0.00677175	0.138055	-4.25873	-0.0221894	0.266458	0.0757856	0.303483	-0.40391	0.00365611	0.0222258	0.446425	0	0	0	0	0	0.0112276	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.51279	0	0	0	0	0	0	0	0	0	0	0	0	-4.25879	0.00119045	0.131449	-4.25819	-0.0190287	0.254852	0.0664398	-0.514547	-0.40391	0.0107868	0.0217955	0.367184	0	0	0	0	0	0.0115408	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.54152	0	0	0	0	0	0	0	0	0	0	0	0	-4.25681	-0.0177591	0.131449	-4.25716	-0.0195631	0.244306	0.0561038	-0.514695	0.157667	0.0174116	0.0131311	0.304332	0	0	0	0	0	0.015786	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.57625	0	0	0	0	0	0	0	0	0	0	0	0	-4.25681	-0.0276023	0.131449	-4.25686	-0.0214351	0.23382	-0.0193728	-0.342078	0.157667	0.0108094	0.00416291	0.246622	0	0	0	0	0	0.0173035	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.60725	0	0	0	0	0	0	0	0	0	0	0	0	-4.25921	-0.0276023	0.139416	-4.25783	-0.0224477	0.225322	-0.0698646	-0.0389774	0.353523	-0.00374755	0.00169481	0.20203	0	0	0	0	0	0.0173035	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.63485	0	0	0	0	0	0	0	0	0	0	0	0	-4.25921	-0.0276023	0.139416	-4.25877	-0.0233694	0.217047	-0.0705286	-0.0377627	0.353523	-0.0122492	-0.00104941	0.16199	0	0	0	0	0	0.0173035	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.64466	0	0	0	0	0	0	0	0	0	0	0	0	-4.25921	-0.0276023	0.139416	-4.2596	-0.024211	0.209087	-0.0711714	-0.0365368	0.353523	-0.017978	-0.00339213	0.126839	0	0	0	0	0	0.0173035	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.646	0	0	0	0	0	0	0	0	0	0	0	0	-4.25921	-0.0265804	0.139416	-4.26028	-0.0245021	0.201522	-0.0678452	0.0791166	0.353523	-0.021417	-0.00276581	0.0963048	0	0	0	0	0	0.0169923	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.6547	0	0	0	0	0	0	0	0	0	0	0	0	-4.25921	-0.0265804	0.139416	-4.26083	-0.0247304	0.194402	-0.00616392	0.0912043	0.35705	-0.0141032	-0.000846032	0.0585626	0	0	0	-0.168773	0.0305433	0.0169923	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.66468	0	0	0	0	0	0	0	0	0	0	0	0	-4.25921	-0.0265804	0.139416	-4.26082	-0.0248825	0.187571	0.0554887	0.102026	0.34979	-0.010317	-0.00087076	0.0352539	0	0	0	-0.168948	0.0305433	0.0169923	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.67395	0	0	0	0	0	0	0	0	0	0	0	0	-4.2519	-0.00870221	0.167865	-4.2574	-0.0220176	0.186089	0.218347	0.0859128	0.31891	0.02671	0.00697419	0.023387	0	0	0	-0.168948	0.0305433	0.0113131	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.67467	0	0	0	0	0	0	0	0	0	0	0	0	-4.2519	-0.00870221	0.167865	-4.25391	-0.0193833	0.184636	0.269806	0.0918246	0.274833	0.0541922	0.0136342	0.0132152	0	0	0	-0.168948	0.0303687	0.0113131	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.68464	0	0	0	0	0	0	0	0	0	0	0	0	-4.2519	-0.00870221	0.167865	-4.25055	-0.0169844	0.183191	0.313183	0.0955302	0.222599	0.0769349	0.0189856	0.00408191	0	0	0	-0.168948	0.0301942	0.0113131	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.69473	0	0	0	0	0	0	0	0	0	0	0	0	-4.2519	-0.00870221	0.167865	-4.24743	-0.0148235	0.181741	0.347199	0.0969399	0.163756	0.0951829	0.0231914	-0.00414495	0	0	0	-0.168948	0.0300197	0.0113131	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.70469	0	0	0	0	0	0	0	0	0	0	0	0	-4.2519	-0.00870221	0.167865	-4.24461	-0.0128991	0.180274	0.370849	0.0960165	0.100059	0.109089	0.0262098	-0.0115499	0	0	0	-0.168948	0.0296706	0.0113131	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.70743	0	0	0	0	0	0	0	0	0	0	0	0	-4.24742	-0.00765174	0.167865	-4.24162	-0.0100069	0.177475	0.187885	0.469499	-0.542705	0.110436	0.0358235	-0.0264554	0	0	0	-0.168948	0.0296706	0.011294	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.71465	0	0	0	0	0	0	0	0	0	0	0	0	-4.24742	-0.00765174	0.167865	-4.23997	-0.00739464	0.174671	0.0991718	0.450409	-0.580995	0.098467	0.0429182	-0.0364744	0	0	0	-0.168948	0.0294961	0.011294	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.72467	0	0	0	0	0	0	0	0	0	0	0	0	-4.24742	-0.00765174	0.167865	-4.23958	-0.00507978	0.171942	0.00507634	0.431762	-0.60317	0.0769918	0.0483422	-0.0436231	0	0	0	-0.168948	0.0293215	0.011294	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.73466	0	0	0	0	0	0	0	0	0	0	0	0	-4.24742	-0.00765174	0.167865	-4.24032	-0.00305853	0.169344	-0.0917137	0.414118	-0.608567	0.0487583	0.0525392	-0.0482687	0	0	0	-0.169122	0.029147	0.011294	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.73952	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	0.0114817	0.137282	-4.23916	0.000719717	0.161085	0.00401065	-0.0657317	-0.925903	0.0526895	0.0551184	-0.0760751	0	0	0	-0.169122	0.029147	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.74471	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	0.0114817	0.137282	-4.23932	0.00388707	0.153489	-0.152513	-0.0918688	-0.911007	0.0281927	0.056454	-0.0934824	0	0	0	-0.169297	0.0286234	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.7547	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	0.0114817	0.137282	-4.2409	0.00650179	0.146636	-0.304621	-0.1154	-0.869208	-0.00846431	0.0564039	-0.104354	0	0	0	-0.169471	0.0282743	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.76471	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	0.0114817	0.137282	-4.24369	0.00861687	0.140577	-0.447661	-0.135807	-0.801742	-0.0515652	0.0551158	-0.109814	0	0	0	-0.169471	0.0280998	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.7747	0	0	0	0	0	0	0	0	0	0	0	0	-4.24378	0.0114817	0.137282	-4.24741	0.0102852	0.135346	-0.577662	-0.152387	-0.710435	-0.0974722	0.0528588	-0.110616	0	0	0	-0.169821	0.0277507	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.7789	0	0	0	0	0	0	0	0	0	0	0	0	-4.24187	0.0114817	0.099427	-4.24677	0.0110502	0.124123	-0.109166	-0.373028	-0.898128	-0.0592039	0.0444984	-0.142763	0	0	0	-0.169821	0.0277507	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.78467	0	0	0	0	0	0	0	0	0	0	0	0	-4.24187	0.0114817	0.099427	-4.24678	0.0114372	0.114152	-0.26215	-0.395835	-0.855741	-0.0653887	0.0370205	-0.160458	0	0	0	-0.169995	0.0274017	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
1.79481	0	0	0	0	0	0	0	0	0	0	0	0	-4.24187	0.0114817	0.099427	-4.2479	0.0115118	0.105453	-0.406054	-0.415414	-0.787561	-0.0868941	0.0295996	-0.169766	0	0	0	-0.17017	0.0270526	0.00712061	-1000	1000	-500	-0	0	-10	0	0	0	-0.2	0.2	170	-1	-1	2561	
