time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x;y;z;dxr;dyr;dzr;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;dxrDerf;dyrDer;dzrDer;dxd;dyd;dzd;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kivx;kivy;kivz;kdvx;kdvy;kdvz;ktg;veld;pitchoff;ke1;ke2;gravity
1,0441;0;0;0;0;0;0;0;0;0;0;0;0;-3,7755;0,151853;-0,0111516;0,00748914;-0,300874;0,08;0,0246278;-0,299957;0,08;0,0246278;0,13516;0,387091;0;0;0;0;0;0;0;0;0,0570343;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,08161;0;0;0;0;0;0;0;0;0;0;0;0;-3,7755;0,144826;-0,0215619;-0,000770406;-0,268677;2,77556e-17;0,0150738;-0,268255;2,77556e-17;0,0150738;-0,268255;-0,303039;0;0;0;0;0;0;0;0;0,0590002;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,11343;0;0;0;0;0;0;0;0;0;0;0;0;-3,77429;0,151853;-0,0111242;0,0274436;-0,190129;0,08;0,0382369;-0,188255;0,08;0,0382369;0,246779;0,666349;0;0;0;0;0;0;0;0;0,0570343;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,14444;0;0;0;0;0;0;0;0;0;0;0;0;-3,77429;0,151909;-0,0112395;0,00672938;-0,169622;2,77556e-17;0,0163871;-0,168962;2,77556e-17;0,0163871;-0,168962;-0,00371675;0;0;0;0;0;0;0;0;0,0570322;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,18117;0;0;0;0;0;0;0;0;0;0;0;0;-3,77379;0,151909;-0,0112395;0,0245338;-0,106389;-0,00371675;0,0305582;-0,104818;-0,00371675;0,0305582;-0,104818;-0,00371675;0;0;0;0;0;0;0;0;0,0570322;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,2118;0;0;0;0;0;0;0;0;0;0;0;0;-3,77266;0,148059;-0,0112395;0,00656787;-0,169628;-0,00371675;0,0163871;-0,168962;-0,00371675;0,0163871;-0,168962;-0,00371675;0;0;0;0;0;0;0;0;0,0579843;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,2491;0;0;0;0;0;0;0;0;0;0;0;0;-3,77244;0,142866;-0,00761409;0,00373888;-0,105212;0,0762833;0,00983984;-0,104818;0,0762833;0,00983984;-0,104818;0,172256;0;0;0;0;0;0;0;0;0,0580797;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,2782;0;0;0;0;0;0;0;0;0;0;0;0;-3,77244;0,137496;-0,00761409;-0,0130466;-0,184367;0,156283;-0,00197417;-0,184818;0,156283;-0,00197417;-0,319404;0,172256;0;0;0;0;0;0;0;0;0,0599652;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,31397;0;0;0;0;0;0;0;0;0;0;0;0;-3,77288;0,138194;-0,0122407;-0,021544;-0,103732;0,0762833;-0,0154171;-0,104818;0,0762833;-0,0154171;0,129037;-0,0435661;0;0;0;0;0;0;0;0;0,0587406;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,34462;0;0;0;0;0;0;0;0;0;0;0;0;-3,774;0,133576;-0,0122407;-0,0253134;-0,160801;-0,00371675;-0,015819;-0,162011;-0,00371675;-0,015819;-0,162011;-0,0435661;0;0;0;0;0;0;0;0;0,058806;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,38163;0;0;0;0;0;0;0;0;0;0;0;0;-3,774;0,133229;0,00179194;-0,0206063;-0,0809406;0,0762833;-0,015819;-0,0820107;0,0762833;-0,015819;-0,0536633;0,123007;0;0;0;0;0;0;0;0;0,0587406;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,40931;0;0;0;0;0;0;0;0;0;0;0;0;-3,77342;0,133229;0,00634492;-0,0189291;-0,0526468;0,123007;-0,015819;-0,0536633;0,123007;-0,015819;-0,0536633;0,123007;0;0;0;0;0;0;0;0;0,0584932;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,44892;0;0;0;0;0;0;0;0;0;0;0;0;-3,77314;0,132256;0,00815956;0,00405591;-0,0539794;0,123007;0,0071042;-0,0536633;0,123007;0,0071042;-0,0536633;0,123007;0;0;0;0;0;0;0;0;0,0566222;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,47528;0;0;0;0;0;0;0;0;0;0;0;0;-3,77314;0,135272;0,0168463;0,00856259;0,0258993;0,203007;0,0071042;0,0263367;0,203007;0,0071042;0,145577;0,219362;0;0;0;0;0;0;0;0;0,055824;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,51342;0;0;0;0;0;0;0;0;0;0;0;0;-3,77267;0,142168;0,0183875;0,0166809;0,0808073;0,219362;0,0124928;0,0815598;0,219362;0,0124928;0,0815598;0,219362;0;0;0;0;0;0;0;0;0,051577;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,54426;0;0;0;0;0;0;0;0;0;0;0;0;-3,77219;0,142168;0,0274488;0,0219079;0,0805711;0,299362;0,0178787;0,0815598;0,299362;0,0178787;0,0815598;0,358064;0;0;0;0;0;0;0;0;0,0496928;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,57308;0;0;0;0;0;0;0;0;0;0;0;0;-3,77219;0,14109;0,0267351;0,0143414;0,0370981;0,219362;0,0124928;0,0377608;0,219362;0,0124928;0,0377608;-0,0935429;0;0;0;0;0;0;0;0;0,0493785;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,61321;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,140001;0,0294316;-0,0201432;-0,0413193;0,201503;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0;0;0,0480547;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,62648;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,140001;0,0294316;-0,0201432;-0,0413193;0,201503;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0;0;0,0480547;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,63632;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,140001;0,0294316;-0,0201432;-0,0413193;0,201503;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0;0;0,0480547;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,63993;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,14109;0,0348198;-0,0163182;0,0385807;0,201503;-0,0181351;0,0377608;0,201503;-0,0181351;0,0377608;0,201503;0;0;0;0;0;0;0;0;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,64636;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,14109;0,0348198;-0,0163182;0,0385807;0,201503;-0,0181351;0,0377608;0,201503;-0,0181351;0,0377608;0,201503;0;0;0;0;0;0;0,135088;0,0561996;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,65636;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,14109;0,0348198;-0,0163182;0,0385807;0,201503;-0,0181351;0,0377608;0,201503;-0,0181351;0,0377608;0,201503;0;0;0;0;0;0;0,134739;0,0558505;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,66633;0;0;0;0;0;0;0;0;0;0;0;0;-3,77233;0,14109;0,0348198;-0,0163182;0,0385807;0,201503;-0,0181351;0,0377608;0,201503;-0,0181351;0,0377608;0,201503;0;0;0;0;0;0;0,13439;0,0553269;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,67363;0;0;0;0;0;0;0;0;0;0;0;0;-3,77305;0,138216;0,035192;-0,0469412;-0,0303722;0,198974;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0,13439;0,0553269;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,6764;0;0;0;0;0;0;0;0;0;0;0;0;-3,77305;0,138216;0,035192;-0,0469412;-0,0303722;0,198974;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0,13439;0,0549779;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,68637;0;0;0;0;0;0;0;0;0;0;0;0;-3,77305;0,138216;0,035192;-0,0469412;-0,0303722;0,198974;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0,134216;0,0542797;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,69646;0;0;0;0;0;0;0;0;0;0;0;0;-3,77305;0,138216;0,035192;-0,0469412;-0,0303722;0,198974;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0,134216;0,0537561;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,70639;0;0;0;0;0;0;0;0;0;0;0;0;-3,77305;0,138216;0,035192;-0,0469412;-0,0303722;0,198974;-0,0181351;-0,0422392;0,201503;-0,0181351;-0,0716193;0,201503;0;0;0;0;0;0;0,134216;0,053058;0,0475908;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,71475;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,130329;0,035192;-0,0547869;-0,114247;0,121437;-0,0331017;-0,122239;0,121503;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,134216;0,053058;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,71633;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,130329;0,035192;-0,0547869;-0,114247;0,121437;-0,0331017;-0,122239;0,121503;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,134041;0,0528835;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,72638;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,130329;0,035192;-0,0547869;-0,114247;0,121437;-0,0331017;-0,122239;0,121503;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,134041;0,0523599;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,73639;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,130329;0,035192;-0,0547869;-0,114247;0,121437;-0,0331017;-0,122239;0,121503;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,133867;0,0520108;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,73941;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,124233;0,035192;-0,0455118;-0,149034;0,0435551;-0,0331017;-0,152844;0,0415028;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,133867;0,0520108;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,7464;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,124233;0,035192;-0,0455118;-0,149034;0,0435551;-0,0331017;-0,152844;0,0415028;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,133518;0,0520108;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,75643;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,124233;0,035192;-0,0455118;-0,149034;0,0435551;-0,0331017;-0,152844;0,0415028;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,133518;0,0518363;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,76633;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,124233;0,035192;-0,0455118;-0,149034;0,0435551;-0,0331017;-0,152844;0,0415028;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,133518;0,0518363;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,77644;0;0;0;0;0;0;0;0;0;0;0;0;-3,77405;0,124233;0,035192;-0,0455118;-0,149034;0,0435551;-0,0331017;-0,152844;0,0415028;-0,0331017;-0,152844;-0,161764;0;0;0;0;0;0;0,133343;0,0516617;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,77727;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,124044;0,0266376;-0,0348572;-0,153142;-0,0356572;-0,0331017;-0,152844;-0,0384972;-0,0331017;-0,152844;-0,208034;0;0;0;0;0;0;0,133343;0,0516617;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,78633;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,124044;0,0266376;-0,0348572;-0,153142;-0,0356572;-0,0331017;-0,152844;-0,0384972;-0,0331017;-0,152844;-0,208034;0;0;0;0;0;0;0,133343;0,0514872;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,79642;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,124044;0,0266376;-0,0348572;-0,153142;-0,0356572;-0,0331017;-0,152844;-0,0384972;-0,0331017;-0,152844;-0,208034;0;0;0;0;0;0;0,133343;0,0513127;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,80635;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,124044;0,0266376;-0,0348572;-0,153142;-0,0356572;-0,0331017;-0,152844;-0,0384972;-0,0331017;-0,152844;-0,208034;0;0;0;0;0;0;0,133692;0,0513127;0,0475773;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,80786;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,102818;0,0220206;-0,0435245;-0,182291;0,014488;-0,0332084;-0,184698;0,0108751;-0,0332084;-0,184698;0,0108751;0;0;0;0;0;0;0,133692;0,0513127;0,0503052;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,81638;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,102818;0,0220206;-0,0435245;-0,182291;0,014488;-0,0332084;-0,184698;0,0108751;-0,0332084;-0,184698;0,0108751;0;0;0;0;0;0;0,133867;0,0511381;0,0503052;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,82637;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,102818;0,0220206;-0,0435245;-0,182291;0,014488;-0,0332084;-0,184698;0,0108751;-0,0332084;-0,184698;0,0108751;0;0;0;0;0;0;0,134041;0,0511381;0,0503052;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,83634;0;0;0;0;0;0;0;0;0;0;0;0;-3,77474;0,102818;0,0220206;-0,0435245;-0,182291;0,014488;-0,0332084;-0,184698;0,0108751;-0,0332084;-0,184698;0,0108751;0;0;0;0;0;0;0,134216;0,0511381;0,0503052;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,83963;0;0;0;0;0;0;0;0;0;0;0;0;-3,77608;0,0975352;0,0220206;-0,0435272;-0,182295;0,0144334;-0,0332084;-0,184698;0,0108751;-0,0332084;-0,184698;0,0108751;0;0;0;0;0;0;0,134216;0,0511381;0,0503052;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
1,84641;0;0;0;0;0;0;0;0;0;0;0;0;-3,77608;0,0975352;0,0220206;-0,0435272;-0,182295;0,0144334;-0,0332084;-0,184698;0,0108751;-0,0332084;-0,184698;0,0108751;0;0;0;0;0;0;0,13439;0,0511381;0,0503052;0;0;-700;700;-500;-10;10;-10;-0;0;-0;0,2;0,2;177;-1;-1;2560;0,08
