time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
45.7025	-0.153786	-0.00352653	207	11	2507	293	-0.0256651	0.00960913	0.0931734	-0.424816	0.838279	-0.413283	-1.56056	-0.308296	0.00352653	-0.111244	-0.155403	-0.0933913	-0.110384	-0.155397	-0.0944159	-0.110384	-0.155397	-0.0944159	-1.53608	-0.266453	0.00352653	-0.086547	-0.185003	-0.0944159	-0.0842027	0.095429	3.38028	-0.136909	-0.145794	-0.000217884	-0.0208119	-0.113932	0.0146009	-0.162397	-0.000582985	0	-0.0925957	0.102065	3.78097	0.0153589	0.0169297	0.014918	0.195043	0.179153	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7125	-0.153786	-0.00352653	207	11	2507	293	-0.0256646	0.00960887	0.0930732	-0.425072	0.838375	-0.412355	-1.56056	-0.308296	0.00352653	-0.111244	-0.155403	-0.0933913	-0.110384	-0.155397	-0.0944159	-0.110384	-0.155397	-0.0944159	-1.53608	-0.266453	0.00352653	-0.086547	-0.185003	-0.0944159	-0.0842027	0.095429	3.38028	-0.136908	-0.145794	-0.000318114	-0.0208119	-0.113932	0.0146009	-0.162397	-0.000582985	0	-0.09365	0.0989108	3.78083	0.0155334	0.0164061	0.014918	0.195043	0.179153	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7225	-0.153786	-0.00352653	207	11	2507	293	-0.0256651	0.00960957	0.0929699	-0.425329	0.838471	-0.411425	-1.56056	-0.308296	0.00352653	-0.111244	-0.155403	-0.0933913	-0.110384	-0.155397	-0.0944159	-0.110384	-0.155397	-0.0944159	-1.53608	-0.266453	0.00352653	-0.086547	-0.185003	-0.0944159	-0.0842027	0.095429	3.38028	-0.136909	-0.145794	-0.000421451	-0.0208119	-0.113932	0.0146009	-0.162397	-0.000582985	0	-0.0925993	0.0936515	3.78073	0.0153589	0.0155334	0.014918	0.195043	0.179153	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7285	-0.151587	-0.00114875	184	20	2506	299	-0.00658303	0.0170303	0.0958848	-0.425368	0.838573	-0.410851	-1.57082	-0.319579	0.00114875	-0.134379	-0.15891	-0.0960362	-0.133248	-0.159629	-0.0964175	-0.133248	-0.159629	-0.0964175	-1.53765	-0.273168	0.00114875	-0.113969	-0.185003	-0.0964175	-0.01964	0.0561136	3.38285	-0.140962	-0.141879	-0.000151389	-0.0201039	-0.118507	0.0149701	-0.159147	-0.000189948	0	-0.0926009	0.0936531	3.78063	0.0153589	0.0155334	0.0165755	0.200708	0.183093	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7326	-0.151587	-0.00114875	184	20	2506	299	-0.00658344	0.0170308	0.0958104	-0.425395	0.838642	-0.410462	-1.57082	-0.319579	0.00114875	-0.134379	-0.15891	-0.0960362	-0.133248	-0.159629	-0.0964175	-0.133248	-0.159629	-0.0964175	-1.53765	-0.273168	0.00114875	-0.113969	-0.185003	-0.0964175	-0.01964	0.0561136	3.38285	-0.140962	-0.141879	-0.00022584	-0.0201039	-0.118507	0.0149701	-0.159147	-0.000189948	0	-0.0914953	0.0893921	3.78414	0.0151844	0.0148353	0.0165755	0.200708	0.183093	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7425	-0.151587	-0.00114875	184	20	2506	299	-0.00658464	0.017032	0.0958347	-0.42546	0.838812	-0.409508	-1.57082	-0.319579	0.00114875	-0.134379	-0.15891	-0.0960362	-0.133248	-0.159629	-0.0964175	-0.133248	-0.159629	-0.0964175	-1.53765	-0.273168	0.00114875	-0.113969	-0.185003	-0.0964175	-0.01964	0.0561136	3.38285	-0.140963	-0.141878	-0.000201564	-0.0201039	-0.118507	0.0149701	-0.159147	-0.000189948	0	-0.0883417	0.08729	3.78406	0.0146608	0.0144862	0.0165755	0.200708	0.183093	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7526	-0.151587	-0.00114875	184	20	2506	299	-0.00658542	0.0170327	0.0958839	-0.425527	0.838983	-0.408542	-1.57082	-0.319579	0.00114875	-0.134379	-0.15891	-0.0960362	-0.133248	-0.159629	-0.0964175	-0.133248	-0.159629	-0.0964175	-1.53765	-0.273168	0.00114875	-0.113969	-0.185003	-0.0964175	-0.01964	0.0561136	3.38285	-0.140964	-0.141877	-0.000152364	-0.0201039	-0.118507	0.0149701	-0.159147	-0.000189948	0	-0.0862377	0.0872893	3.78412	0.0143117	0.0144862	0.0165755	0.200708	0.183093	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7625	-0.151587	-0.00114875	184	20	2506	299	-0.0065858	0.017033	0.0960075	-0.425592	0.839152	-0.407589	-1.57082	-0.319579	0.00114875	-0.134379	-0.15891	-0.0960362	-0.133248	-0.159629	-0.0964175	-0.133248	-0.159629	-0.0964175	-1.53765	-0.273168	0.00114875	-0.113969	-0.185003	-0.0964175	-0.01964	0.0561136	3.38285	-0.140964	-0.141877	-2.87151e-05	-0.0201039	-0.118507	0.0149701	-0.159147	-0.000189948	0	-0.0851849	0.0914944	3.7842	0.0141372	0.0151844	0.0165755	0.200708	0.183093	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7649	-0.169856	-0.00352653	234	15	2541	305	-0.0749314	0.013088	0.0245829	-0.425773	0.839184	-0.40753	-1.55516	-0.321965	0.00352653	-0.0662692	-0.154729	-0.0250106	-0.064034	-0.155435	-0.0264175	-0.064034	-0.155435	0.0655073	-1.54124	-0.278314	0.00352653	-0.0433852	-0.185003	0.0655073	-0.162143	0.0426732	3.29308	-0.141201	-0.141641	-0.000427719	-0.0227065	-0.116105	0.0164343	-0.160417	-0.000581952	0	-0.0851825	0.0914918	3.78437	0.0141372	0.0151844	0.0168852	0.204146	0.186168	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
45.7725	-0.169856	-0.00352653	266	15	2541	305	-0.0749314	0.0130879	0.0246323	-0.426342	0.839283	-0.407343	-1.55516	-0.321965	0.00352653	-0.0662692	-0.154729	-0.0250106	-0.064034	-0.155435	-0.0264175	-0.064034	-0.155435	0.0655073	-1.54124	-0.278314	0.00352653	-0.0433852	-0.185003	0.0655073	-0.162143	0.0426732	3.29308	-0.141201	-0.141641	-0.000378277	-0.0227065	-0.116105	0.0164343	-0.160417	-0.000581952	0	-0.0863963	0.0949287	3.6985	0.0141372	0.0155334	0.0168852	0.204146	0.186168	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
