time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxr3	dyr3	dzr3	dxr4	dyr4	dzr4	dxr5	dyr5	dzr5	dxrDer	dyrDer	dzrDer	dxd	dyd	dzd	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kivx	kivy	kivz	kdvx	kdvy	kdvz	ktg	veld	pitchoff	ke1	ke2	gravity
1.04955	0	0	0	0	0	0	0	0	0	0	0	0	-3.75486	-0.022275	-0.0332784	0.126812	-0.213289	-0.2	0.146879	-0.2	-0.2	0.166879	-0.16	-0.16	0.2	-0.08	-0.08	0.284304	1.05007	-0.734066	0.132857	0	0	0	0	0	0	0	0.0970345	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.07935	0	0	0	0	0	0	0	0	0	0	0	0	-3.75483	0.033827	-0.0332784	0.0945162	-0.10871	-0.1	0.103688	-0.1	-0.1	0.103688	-0.08	-0.08	0.16	-0.04	-0.04	0.103688	1.49173	0.285179	0.201609	0	0	0	0	0	0	0	0.0878305	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.11882	0	0	0	0	0	0	0	0	0	0	0	0	-3.75468	0.0782775	-0.0247806	0.103416	-0.00750058	-2.77556e-17	0.103688	-2.77556e-17	-2.77556e-17	0.103688	-2.77556e-17	2.77556e-17	0.12	-1.38778e-17	1.38778e-17	0.103688	1.60848	0.473514	0.00306447	0	0	0	0	0	0	0	0.0724015	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.14526	0	0	0	0	0	0	0	0	0	0	0	0	-3.75277	0.312159	0.0349273	0.0743461	0.0984211	0.1	0.0722084	0.1	0.1	0.0722084	0.08	0.08	0.08	0.04	0.04	0.0722084	1.49173	0.285179	0.0236089	0	0	0	0	0	0	0	0.0215461	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.18052	0	0	0	0	0	0	0	0	0	0	0	0	-3.75468	0.312159	0.0480778	-0.0277851	0.000598755	0.2	-0.0277916	-2.77556e-17	0.2	-0.00779156	-2.77556e-17	0.16	0.04	-1.38778e-17	0.08	-0.0746198	-0.416056	0.803312	-0.0238236	0	0	0	0	0	0	0	0.0215461	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.21944	0	0	0	0	0	0	0	0	0	0	0	0	-3.75912	0.237765	0.0349273	-0.0965256	-0.095496	0.1	-0.0918514	-0.1	0.1	-0.0877916	-0.08	0.08	-1.38778e-17	-0.04	0.04	-0.0918514	-2.11011	-0.497053	-0.0951924	0	0	0	0	0	0	0	0.0478099	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.24358	0	0	0	0	0	0	0	0	0	0	0	0	-3.76269	0.221247	-0.0139196	-0.190476	-0.190034	-2.77556e-17	-0.179983	-0.2	-2.77556e-17	-0.167792	-0.16	2.77556e-17	-0.04	-0.08	1.38778e-17	-0.179983	-2.11011	-0.074506	-0.10965	0	0	0	0	0	0	0	0.0537904	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.28506	0	0	0	0	0	0	0	0	0	0	0	0	-3.76436	0.221247	-0.0139196	-0.0975877	-0.0944103	-0.074506	-0.0918514	-0.1	-0.074506	-0.0918514	-0.08	-0.074506	-0.08	-0.04	-0.04	-0.0918514	0.229995	-0.074506	-0.0777932	0	0	0	0	0	0	0	0.0589957	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.31086	0	0	0	0	0	0	0	0	0	0	0	0	-3.76436	0.22557	-0.00662417	0.00813443	-0.000480454	0.025494	0.00814861	-2.77556e-17	0.025494	-0.0118514	-2.77556e-17	0.00549396	-0.04	-1.38778e-17	1.38778e-17	0.120714	0.229995	0.219272	-0.0436746	0	0	0	0	0	0	0	0.0589957	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.35551	0	0	0	0	0	0	0	0	0	0	0	0	-3.75999	0.22557	0.0182671	0.101787	-0.106468	0.125494	0.108149	-0.1	0.125494	0.0681486	-0.08	0.085494	-1.38778e-17	-0.04	0.04	0.120714	-0.202043	0.219272	0.104555	0	0	0	0	0	0	0	0.0616005	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.37973	0	0	0	0	0	0	0	0	0	0	0	0	-3.75862	0.117653	0.0245527	0.0319748	-0.203741	0.225494	0.0503263	-0.2	0.225494	0.0503263	-0.16	0.165494	0.04	-0.08	0.08	0.0503263	-0.700018	0.259465	0.118725	0	0	0	0	0	0	0	0.0908446	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.42074	0	0	0	0	0	0	0	0	0	0	0	0	-3.75774	0.100695	0.0245527	0.0210395	-0.303463	0.146304	0.0503263	-0.3	0.146304	0.0503263	-0.24	0.146304	0.0503263	-0.12	0.12	0.0503263	-0.700018	0.146304	0.0342368	0	0	0	0	0	0	0	0.096986	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.44593	0	0	0	0	0	0	0	0	0	0	0	0	-3.75426	0.0993226	0.0305535	0.0668875	-0.408443	0.154315	0.106301	-0.4	0.154315	0.106301	-0.32	0.154315	0.0903263	-0.16	0.154315	0.106301	-0.700018	0.154315	0.0542644	0	0	0	0	0	0	0	0.0974282	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.48161	0	0	0	0	0	0	0	0	0	0	0	0	-3.75426	0.0813341	0.0344404	0.075845	-0.309108	0.154315	0.106301	-0.3	0.154315	0.106301	-0.28627	0.154315	0.106301	-0.2	0.154315	0.106301	-0.28627	0.154315	0.0323189	0	0	0	0	0	0	0	0.0999199	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.51318	0	0	0	0	0	0	0	0	0	0	0	0	-3.75477	0.0730323	0.0403833	-0.0222866	-0.285471	0.154315	0.00630131	-0.28627	0.154315	0.0263013	-0.28627	0.154315	0.0663013	-0.24	0.154315	-0.0697734	-0.28627	0.154315	-0.00595396	0	0	0	0	0	0	0	0.0999199	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
1.55284	0	0	0	0	0	0	0	0	0	0	0	0	-3.75477	0.0730323	0.0403833	-0.0875498	-0.178606	0.054315	-0.0697734	-0.18627	0.054315	-0.0536987	-0.20627	0.074315	0.0263013	-0.2	0.114315	-0.0697734	0.0604971	-0.0895848	-0.00675404	0	0	0	0	0	0	0	0.0973609	0	0	-700	700	-500	-10	10	-10	-0	0	-0	0.2	0.2	177	-1	-1	2560	
