time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x	y	z	dxr	dyr	dzr	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	xpred	ypred	zpred	dxpred	dypred	dzpred	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.51651	0.111894	-0.0372109	331	-171	2564	174	-0.128836	-0.143294	-0.0288339	-0.0213457	-0.0279764	-0.00047023	-1.803	-0.167169	0.0372109	0.0159725	-0.0218159	0.0280467	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80285	-0.169129	0.0388142	-0.0343401	-0.0452608	0.181137	-0.88941	-0.459484	3.65471	-0.112863	-0.16511	-0.000787216	0.0141512	-0.128782	-0.0120083	-0.151765	-0.00617209	0	0.251729	0.0290537	3.6446	-0.0408407	0.00471239	-0.0117134	0.0924531	0.103978	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.51897	0.111725	-0.0372109	331	-171	2564	175	-0.128819	-0.143066	-0.0289065	-0.0216634	-0.0283292	-0.000541514	-1.803	-0.16759	0.0372109	0.0157286	-0.0218886	0.0281278	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80283	-0.1693	0.0385502	-0.0314918	-0.0474562	0.141012	-0.950187	-0.490882	3.23409	-0.113091	-0.164954	-0.000778736	0.0141152	-0.128972	-0.0120078	-0.151607	-0.00617217	0	0.251751	0.0290561	3.64407	-0.0408407	0.00471239	-0.0117134	0.0926844	0.104208	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.52641	0.111725	-0.0372109	331	-171	2564	175	-0.128815	-0.143067	-0.0292404	-0.0226217	-0.0293935	-0.000759034	-1.803	-0.16759	0.0372109	0.0157286	-0.0218886	0.0281278	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80283	-0.1693	0.0385502	-0.0314918	-0.0474562	0.141012	-0.950187	-0.490882	3.23409	-0.113086	-0.164955	-0.00111264	0.0141152	-0.128972	-0.0120078	-0.151607	-0.00617217	0	0.2367	0.0269042	3.64399	-0.0383972	0.00436332	-0.0117134	0.0926844	0.104208	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.53646	0.111725	-0.0372109	331	-171	2564	175	-0.128809	-0.143067	-0.0296138	-0.0239163	-0.0308314	-0.00105668	-1.803	-0.16759	0.0372109	0.0157286	-0.0218886	0.0281278	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80283	-0.1693	0.0385502	-0.0314918	-0.0474562	0.141012	-0.950187	-0.490882	3.23409	-0.113081	-0.164956	-0.00148601	0.0141152	-0.128972	-0.0120078	-0.151607	-0.00617217	0	0.219507	0.0247535	3.64358	-0.0356047	0.00401426	-0.0117134	0.0926844	0.104208	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.54642	0.111725	-0.0372109	331	-171	2564	175	-0.128807	-0.143068	-0.0297808	-0.0251985	-0.0322555	-0.00135312	-1.803	-0.16759	0.0372109	0.0157286	-0.0218886	0.0281278	0.0143123	-0.0221901	0.0286432	0.0143123	-0.0221901	0.0286432	-1.80283	-0.1693	0.0385502	-0.0314918	-0.0474562	0.141012	-0.950187	-0.490882	3.23409	-0.113078	-0.164956	-0.00165295	0.0141152	-0.128972	-0.0120078	-0.151607	-0.00617217	0	0.211994	0.0236791	3.64312	-0.034383	0.00383972	-0.0117134	0.0926844	0.104208	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.54837	0.111793	-0.0366812	323	-202	2570	181	-0.121695	-0.1691	-0.0408799	-0.0254365	-0.0325863	-0.00143308	-1.80314	-0.16759	0.0366812	0.00864455	0.00412352	0.039314	0.00733528	0.00388349	0.0396034	0.00733528	0.00388349	0.0396034	-1.80372	-0.167881	0.0388904	-0.0549181	-0.0282776	0.151427	-0.929391	-0.581229	3.21871	-0.113051	-0.164976	-0.00156595	0.0141196	-0.129029	-0.0120204	-0.151561	-0.00608435	0	0.212001	0.0236798	3.64291	-0.034383	0.00383972	-0.0121796	0.0926769	0.104664	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.55646	0.111793	-0.0366812	323	-202	2570	181	-0.121688	-0.1691	-0.0412729	-0.0264208	-0.0339541	-0.00176694	-1.80314	-0.16759	0.0366812	0.00864455	0.00412352	0.039314	0.00733528	0.00388349	0.0396034	0.00733528	0.00388349	0.0396034	-1.80372	-0.167881	0.0388904	-0.0549181	-0.0282776	0.151427	-0.929391	-0.581229	3.21871	-0.113044	-0.164977	-0.00195895	0.0141196	-0.129029	-0.0120204	-0.151561	-0.00608435	0	0.194132	0.0215737	3.62957	-0.0314159	0.00349066	-0.0121796	0.0926769	0.104664	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.56649	0.111793	-0.0366812	323	-202	2570	181	-0.12168	-0.169101	-0.0416856	-0.0276409	-0.0356497	-0.00218492	-1.80314	-0.16759	0.0366812	0.00864455	0.00412352	0.039314	0.00733528	0.00388349	0.0396034	0.00733528	0.00388349	0.0396034	-1.80372	-0.167881	0.0388904	-0.0549181	-0.0282776	0.151427	-0.929391	-0.581229	3.21871	-0.113035	-0.164977	-0.00237166	0.0141196	-0.129029	-0.0120204	-0.151561	-0.00608435	0	0.174738	0.0194179	3.62909	-0.0282743	0.00314159	-0.0121796	0.0926769	0.104664	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.57644	0.111793	-0.0366812	323	-202	2571	181	-0.121671	-0.169102	-0.0420013	-0.0288518	-0.0373326	-0.00260292	-1.80314	-0.16759	0.0366812	0.00864455	0.00412352	0.039314	0.00733528	0.00388349	0.0396034	0.00733528	0.00388349	0.0396034	-1.80372	-0.167881	0.0388904	-0.0549181	-0.0282776	0.151427	-0.929391	-0.581229	3.21871	-0.113026	-0.164978	-0.0026873	0.0141196	-0.129029	-0.0120204	-0.151561	-0.00608435	0	0.157497	0.0194195	3.62858	-0.0254818	0.00314159	-0.0121796	0.0926769	0.104664	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
7.58012	0.112105	-0.0366812	293	-202	2571	182	-0.0972218	-0.169013	-0.0423855	-0.0292091	-0.0379537	-0.00275868	-1.80336	-0.167069	0.0366812	-0.0154515	0.00379347	0.0396901	-0.0164087	0.00388349	0.0392952	-0.0164087	0.00388349	0.0392952	-1.80567	-0.167398	0.0388305	-0.0829218	-0.0304782	0.135308	-0.843398	-0.581455	3.21614	-0.112673	-0.165219	-0.0026954	0.0141706	-0.128874	-0.0120395	-0.151686	-0.0060842	0	0.157507	0.0194207	3.62819	-0.0254818	0.00314159	-0.0130664	0.0923793	0.10525	-1200	1200	-500	1700	-0	0	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2550	0.07
