time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel
7.91071	-1.6886	-0.0597402	-17	74	2450	92	0.179549	0.037638	0.0575948	0.0274229	0.0071831	-0.000348643	-3.69301	-0.246797	0.0597402	0.0171738	-0.00621011	-0.0752711	0.0215253	-0.00424814	-0.0742823	0.0215253	0.159954	-0.0742823	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	0.53047	0.202551	0.268767	0.196723	0.0314279	-0.0176763	0.14742	0.0493529	-0.0694479	0.104764	-0.00576524	-0	0.818012	0.127905	3.70253	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	-0.0570723	0.020944	0.0178835	0.066729	0.0488262	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.91588	-1.6886	-0.0597402	-17	40	2500	92	0.179555	0.0376364	0.057658	0.0283511	0.00737764	-5.06094e-05	-3.69301	-0.246797	0.0597402	0.0171738	-0.00621011	-0.0752711	0.0215253	-0.00424814	-0.0742823	0.0215253	0.159954	-0.0742823	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	0.53047	0.202551	0.268767	0.196729	0.0314263	-0.0176131	0.14742	0.0493529	-0.0694479	0.104764	-0.00576524	-0	0.809846	0.128014	3.74785	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	-0.0567232	0.0211185	0.0178835	0.066729	0.0488262	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.92583	-1.6886	-0.0597402	-17	40	2526	92	0.179561	0.0376317	0.0577157	0.0301372	0.00775196	0.000523488	-3.69301	-0.246797	0.0597402	0.0171738	-0.00621011	-0.0752711	0.0215253	-0.00424814	-0.0742823	0.0215253	0.159954	-0.0742823	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	0.53047	0.202551	0.268767	0.196735	0.0314216	-0.0175555	0.14742	0.0493529	-0.0694479	0.104764	-0.00576524	-0	0.807737	0.130128	3.74793	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	-0.0563741	0.0214675	0.0178835	0.066729	0.0488262	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.93584	-1.6886	-0.0597402	-17	40	2526	92	0.179578	0.037621	0.0578942	0.0319349	0.00812858	0.00110307	-3.69301	-0.246797	0.0597402	0.0171738	-0.00621011	-0.0752711	0.0215253	-0.00424814	-0.0742823	0.0215253	0.159954	-0.0742823	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	0.53047	0.202551	0.268767	0.196752	0.0314109	-0.0173769	0.14742	0.0493529	-0.0694479	0.104764	-0.00576524	-0	0.801434	0.135415	3.74801	-1.84675	-0.128557	0.0345817	0.000946378	0.0788054	-0.0923822	-0.0553269	0.0223402	0.0178835	0.066729	0.0488262	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.93644	-1.73288	-0.0662179	-45	-10	2561	91	0.205888	-0.0413819	-0.0124822	0.0320601	0.00810342	0.00109548	-3.69605	-0.227744	0.0662179	-0.00817781	0.0657621	-0.00530629	-0.00883395	0.0657519	-0.00428231	-0.00883395	0.164683	0.0442948	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	0.6343	-0.0286168	-0.0153581	0.19771	0.0243802	-0.0177885	0.146669	0.0513425	-0.0741423	0.101566	-0.00627999	-0	0.801404	0.13541	3.74824	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	-0.0553269	0.0223402	0.0133837	0.0615404	0.0481381	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.94585	-1.73288	-0.0662179	-45	-44	2561	91	0.205909	-0.0413949	-0.0122662	0.0339975	0.00771394	0.000980065	-3.69605	-0.227744	0.0662179	-0.00817781	0.0657621	-0.00530629	-0.00883395	0.0657519	-0.00428231	-0.00883395	0.164683	0.0442948	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	0.6343	-0.0286168	-0.0153581	0.197731	0.0243672	-0.0175725	0.146669	0.0513425	-0.0741423	0.101566	-0.00627999	-0	0.805124	0.143731	3.6638	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	-0.0541052	0.0233874	0.0133837	0.0615404	0.0481381	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.9559	-1.73288	-0.0662179	-45	-44	2560	91	0.205935	-0.0414148	-0.011994	0.0360665	0.00729785	0.000859561	-3.69605	-0.227744	0.0662179	-0.00817781	0.0657621	-0.00530629	-0.00883395	0.0657519	-0.00428231	-0.00883395	0.164683	0.0442948	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	0.6343	-0.0286168	-0.0153581	0.197757	0.0243473	-0.0173003	0.146669	0.0513425	-0.0741423	0.101566	-0.00627999	-0	0.795519	0.153376	3.66406	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	-0.0525344	0.0249582	0.0133837	0.0615404	0.0481381	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.96583	-1.73288	-0.0662179	-45	-44	2560	91	0.205947	-0.0414233	-0.011873	0.0381118	0.00688647	0.000741651	-3.69605	-0.227744	0.0662179	-0.00817781	0.0657621	-0.00530629	-0.00883395	0.0657519	-0.00428231	-0.00883395	0.164683	0.0442948	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	0.6343	-0.0286168	-0.0153581	0.197769	0.0243388	-0.0171793	0.146669	0.0513425	-0.0741423	0.101566	-0.00627999	-0	0.791222	0.157657	3.66438	-1.84679	-0.120655	0.0345817	-0.0208598	0.0788054	-0.0577882	-0.0518363	0.0256563	0.0133837	0.0615404	0.0481381	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.97132	-1.71901	-0.10319	5	-64	2595	88	0.141465	-0.0596255	-0.0814886	0.0388877	0.00655943	0.000294686	-3.69512	-0.233605	0.10319	0.0556611	0.0862767	0.0607249	0.0511882	0.0853833	0.0657177	0.0511882	0.0853833	0.320407	-1.84879	-0.120655	0.0386108	0.000946378	0.0365064	0.0634742	0.498276	-0.185555	-0.102387	0.197126	0.0266512	-0.0207637	0.1468	0.0507196	-0.0726563	0.102478	-0.00983249	-0	0.791204	0.157653	3.66452	-1.84879	-0.120655	0.0386108	0.000946378	0.0365064	0.0634742	-0.0518363	0.0256563	0.0133837	0.063136	0.0497317	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
7.97634	-1.71901	-0.10319	23	-64	2595	88	0.141496	-0.0596462	-0.0812162	0.0395989	0.00625964	-0.000113507	-3.69512	-0.233605	0.10319	0.0556611	0.0862767	0.0607249	0.0511882	0.0853833	0.0657177	0.0511882	0.0853833	0.320407	-1.84879	-0.120655	0.0386108	0.000946378	0.0365064	0.0634742	0.498276	-0.185555	-0.102387	0.197157	0.0266306	-0.0204913	0.1468	0.0507196	-0.0726563	0.102478	-0.00983249	-0	0.792255	0.168491	3.58098	-1.84879	-0.120655	0.0386108	0.000946378	0.0365064	0.0634742	-0.0502655	0.0270526	0.0133837	0.063136	0.0497317	-1080	1080	-500	1700	-10	10	-10	-0	0	-0	250	1.2	0.2	177	-1.2	-1	2555	0.07
