time 	e1	e2	e1Ori	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	edx	edy	edz	cumulx	cumuly	cumulz	x_pred	y_pred	z_pred	dxr_pred	dyr_pred	dzr_pred	dxrT	dyrT	dzrT	dxrUn	dyrUn	dzrUn	x	y	z	dx	dy	dz	ux	uy	uz	dxd	dyd	dzd	Perpx	Tangx	Perpy	Tangy	Perpz	Tanz	ax	ay	az	err_sti_x	err_sti_y	err_sti_z	err_sti_dx	err_sti_dy	err_sti_dz	pitch	roll	yaw	yawd	eyaw	kpvx	kpvy	kpvz	kpyaw	kivx	kivy	kivz	kdvx	kdvy	kdvz	kdyaw	ktg	veld	pitchoff	ke1	ke2	gravity	thr_vel	var	ampli
8.27893	-0.270258	-0.113437	-0.270258	26	197	2450	-44	0.143464	0.182728	0.0217177	0.0199359	0.0305362	0.00335341	-3.58145	-0.0394126	0.141796	-0.00521019	-0.0378358	0	-0.00579166	-0.0377512	0.200852	-0.00579166	-0.0377512	0.200852	-3.5792	-0.0329237	0.127775	-0.0191423	-0.0514359	0.0878509	0.400747	0.532551	0.304284	0.138254	0.144892	0.0217177	0.0647844	0.0766597	-0.029597	0.167799	-0.0298957	-0	1.19395	0.203405	3.70717	0	0	0	0	0	0	-0.122697	0.0333358	-0.0153852	-0.0463101	-0.03092	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.28339	-0.270258	-0.113437	-0.270258	26	183	2500	-44	0.143479	0.182868	0.0217434	0.0205755	0.0313514	0.00345034	-3.58145	-0.0394126	0.141796	-0.00521019	-0.0378358	0	-0.00579166	-0.0377512	0.200852	-0.00579166	-0.0377512	0.200852	-3.5792	-0.0329237	0.127775	-0.0191423	-0.0514359	0.0878509	0.400747	0.532551	0.304284	0.138269	0.145032	0.0217434	0.0647844	0.0766597	-0.029597	0.167799	-0.0298957	-0	1.18866	0.209781	3.70749	0	0	0	0	0	0	-0.121824	0.034383	-0.0153852	-0.0463101	-0.03092	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.29331	-0.270258	-0.113437	-0.270258	26	183	2543	-44	0.143505	0.183055	0.0217213	0.0219982	0.0331662	0.00366569	-3.58145	-0.0394126	0.141796	-0.00521019	-0.0378358	0	-0.00579166	-0.0377512	0.200852	-0.00579166	-0.0377512	0.200852	-3.5792	-0.0329237	0.127775	-0.0191423	-0.0514359	0.0878509	0.400747	0.532551	0.304284	0.138295	0.145219	0.0217213	0.0647844	0.0766597	-0.029597	0.167799	-0.0298957	-0	1.17925	0.218295	3.70753	0	0	0	0	0	0	-0.120253	0.0357792	-0.0153852	-0.0463101	-0.03092	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.30334	-0.270258	-0.113437	-0.270258	26	183	2543	-44	0.143523	0.183172	0.0216985	0.0234386	0.0350046	0.00388345	-3.58145	-0.0394126	0.141796	-0.00521019	-0.0378358	0	-0.00579166	-0.0377512	0.200852	-0.00579166	-0.0377512	0.200852	-3.5792	-0.0329237	0.127775	-0.0191423	-0.0514359	0.0878509	0.400747	0.532551	0.304284	0.138313	0.145336	0.0216985	0.0647844	0.0766597	-0.029597	0.167799	-0.0298957	-0	1.17299	0.223618	3.70751	0	0	0	0	0	0	-0.119206	0.0366519	-0.0153852	-0.0463101	-0.03092	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.3133	-0.270258	-0.113437	-0.270258	26	183	2543	-44	0.143557	0.183335	0.0215796	0.0248677	0.0368297	0.00409828	-3.58145	-0.0394126	0.141796	-0.00521019	-0.0378358	0	-0.00579166	-0.0377512	0.200852	-0.00579166	-0.0377512	0.200852	-3.5792	-0.0329237	0.127775	-0.0191423	-0.0514359	0.0878509	0.400747	0.532551	0.304284	0.138347	0.1455	0.0215796	0.0647844	0.0766597	-0.029597	0.167799	-0.0298957	-0	1.16045	0.231069	3.70748	0	0	0	0	0	0	-0.117112	0.0378736	-0.0153852	-0.0463101	-0.03092	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.31375	-0.400669	-0.102396	-0.400669	-5	133	2541	-36	0.175721	0.0620364	0.0241009	0.024948	0.036858	0.00410929	-3.58371	0.0516479	0.127995	0.00103434	0.0322891	0	0.00191593	0.0322488	0.130852	0.00191593	0.325842	0.122679	-3.58126	0.00318299	0.126553	-0.0191423	0.299354	-0.0295081	0.505689	0.363742	0.0657336	0.176756	0.0943255	0.0241009	0.0801929	0.100111	-0.0573018	0.140103	-0.0251887	-0	1.16047	0.231075	3.70733	0	0	0	0	0	0	-0.117112	0.0378736	-0.0273184	-0.0724699	-0.0451362	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.32329	-0.400669	-0.102396	-0.400669	-6	83	2541	-36	0.175768	0.0623104	0.0238365	0.0266234	0.037452	0.0043365	-3.58371	0.0516479	0.127995	0.00103434	0.0322891	0	0.00191593	0.0322488	0.130852	0.00191593	0.325842	0.122679	-3.58126	0.00318299	0.126553	-0.0191423	0.299354	-0.0295081	0.505689	0.363742	0.0657336	0.176802	0.0945995	0.0238365	0.0801929	0.100111	-0.0573018	0.140103	-0.0251887	-0	1.14625	0.240523	3.71066	0	0	0	0	0	0	-0.114843	0.0394444	-0.0273184	-0.0724699	-0.0451362	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.33328	-0.400669	-0.102396	-0.400669	-6	62	2541	-36	0.17581	0.0625236	0.0235726	0.0283808	0.0380769	0.00457213	-3.58371	0.0516479	0.127995	0.00103434	0.0322891	0	0.00191593	0.0322488	0.130852	0.00191593	0.325842	0.122679	-3.58126	0.00318299	0.126553	-0.0191423	0.299354	-0.0295081	0.505689	0.363742	0.0657336	0.176845	0.0948128	0.0235726	0.0801929	0.100111	-0.0573018	0.140103	-0.0251887	-0	1.13377	0.247982	3.71031	0	0	0	0	0	0	-0.112748	0.0406662	-0.0273184	-0.0724699	-0.0451362	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.34313	-0.439438	-0.127168	-0.439438	-27	12	2541	-38	0.197389	-0.0177553	0.0235987	0.0303249	0.0379021	0.00480456	-3.5907	0.0646069	0.15896	-0.0163801	0.101802	0	-0.0133106	0.102249	0.200852	-0.0133106	0.343117	0.30965	-3.58266	0.00318299	0.122859	-0.0476497	0.299354	0.113322	0.559424	0.0172526	0.0599613	0.181009	0.0840469	0.0235987	0.0842037	0.100188	-0.0628946	0.134132	-0.0304148	-0	1.13383	0.247996	3.70997	0	0	0	0	0	0	-0.112748	0.0406662	-0.0300839	-0.0760555	-0.0459555	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
8.34337	-0.439438	-0.127168	-0.439438	-27	-17	2542	-38	0.197421	-0.0175678	0.023394	0.0303729	0.0378978	0.00481024	-3.5907	0.0646069	0.15896	-0.0163801	0.101802	0	-0.0133106	0.102249	0.200852	-0.0133106	0.343117	0.30965	-3.58266	0.00318299	0.122859	-0.0476497	0.299354	0.113322	0.559424	0.0172526	0.0599613	0.181041	0.0842343	0.023394	0.0842037	0.100188	-0.0628946	0.134132	-0.0304148	-0	1.12441	0.254377	3.71001	0	0	0	0	0	0	-0.111177	0.0417134	-0.0300839	-0.0760555	-0.0459555	-1000	1000	-550	1500	-10	10	-10	-0	0	-0	200	0.7	0.2	170	-1.2	-0.8	2555	0.07	0.35	0.8
