time ;e1;;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,8099;0,0638168;;-0,108105;226;-165;2450;129;-0,0409394;-0,138132;-0,00649375;-0,00712463;-0,0258228;-0,000865958;-1,69514;-0,117804;0,108105;-0,0191883;-0,0519851;-0,00899732;-0,0197537;-0,0516644;-0,00960091;-0,0197537;-0,0516644;-0,00960091;-1,68985;-0,113764;0,108105;-0,0169322;-0,00738277;-0,00960091;-0,134398;-0,452207;3,52647;-0,0601277;-0,190118;-0,0154911;0,00986735;-0,0716971;-0,0038129;-0,185544;-0,0179197;0;-0,130716;0,120003;3,67061;0,021293;0,0195477;-0,00689384;0,0693838;0,0762036;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,81267;0,0638168;;-0,108105;226;-165;2500;129;-0,0409159;-0,138117;-0,00676626;-0,00723772;-0,0262046;-0,00088466;-1,69514;-0,117804;0,108105;-0,0191883;-0,0519851;-0,00899732;-0,0197537;-0,0516644;-0,00960091;-0,0197537;-0,0516644;-0,00960091;-1,68985;-0,113764;0,108105;-0,0169322;-0,00738277;-0,00960091;-0,134398;-0,452207;3,52647;-0,0601042;-0,190103;-0,0157636;0,00986735;-0,0716971;-0,0038129;-0,185544;-0,0179197;0;-0,138208;0,113569;3,67092;0,0225147;0,0185005;-0,00689384;0,0693838;0,0762036;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,82261;0,0638168;;-0,108105;226;-165;2550;129;-0,0408822;-0,138091;-0,00720289;-0,00764405;-0,0275771;-0,000956249;-1,69514;-0,117804;0,108105;-0,0191883;-0,0519851;-0,00899732;-0,0197537;-0,0516644;-0,00960091;-0,0197537;-0,0516644;-0,00960091;-1,68985;-0,113764;0,108105;-0,0169322;-0,00738277;-0,00960091;-0,134398;-0,452207;3,52647;-0,0600704;-0,190077;-0,0162002;0,00986735;-0,0716971;-0,0038129;-0,185544;-0,0179197;0;-0,148928;0,102862;3,67059;0,0242601;0,0167552;-0,00689384;0,0693838;0,0762036;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,83268;0,0638168;;-0,108105;226;-165;2553;129;-0,0408686;-0,138086;-0,00731116;-0,00805568;-0,0289679;-0,00102989;-1,69514;-0,117804;0,108105;-0,0191883;-0,0519851;-0,00899732;-0,0197537;-0,0516644;-0,00960091;-0,0197537;-0,0516644;-0,00960091;-1,68985;-0,113764;0,108105;-0,0169322;-0,00738277;-0,00960091;-0,134398;-0,452207;3,52647;-0,0600569;-0,190072;-0,0163085;0,00986735;-0,0716971;-0,0038129;-0,185544;-0,0179197;0;-0,153226;0,100728;3,67007;0,0249582;0,0164061;-0,00689384;0,0693838;0,0762036;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,83821;0,064069;;-0,108105;219;-148;2553;130;-0,0356699;-0,123674;-0,00754612;-0,00825286;-0,0296515;-0,0010716;-1,69597;-0,11906;0,108105;-0,0252019;-0,0661365;-0,0087868;-0,0258946;-0,0658065;-0,00923861;-0,0258946;-0,0658065;-0,00923861;-1,69014;-0,113764;0,108105;-0,0187507;-0,00738277;-0,00923861;-0,120044;-0,42274;3,26231;-0,0608718;-0,18981;-0,0163329;0,00988888;-0,072532;-0,00387255;-0,185217;-0,0179195;0;-0,153229;0,10073;3,66994;0,0249582;0,0164061;-0,00689384;0,0700866;0,0769044;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,84267;0,064069;;-0,108105;219;-148;2553;130;-0,0356325;-0,123652;-0,00792795;-0,00841178;-0,030203;-0,00110696;-1,69597;-0,11906;0,108105;-0,0252019;-0,0661365;-0,0087868;-0,0258946;-0,0658065;-0,00923861;-0,0258946;-0,0658065;-0,00923861;-1,69014;-0,113764;0,108105;-0,0187507;-0,00738277;-0,00923861;-0,120044;-0,42274;3,26231;-0,0608343;-0,189789;-0,0167147;0,00988888;-0,072532;-0,00387255;-0,185217;-0,0179195;0;-0,165021;0,0921621;3,66965;0,0268781;0,0150098;-0,00689384;0,0700866;0,0769044;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,85266;0,064069;;-0,108105;219;-148;2554;130;-0,0355914;-0,123634;-0,00828716;-0,00876766;-0,0314392;-0,00118982;-1,69597;-0,11906;0,108105;-0,0252019;-0,0661365;-0,0087868;-0,0258946;-0,0658065;-0,00923861;-0,0258946;-0,0658065;-0,00923861;-1,69014;-0,113764;0,108105;-0,0187507;-0,00738277;-0,00923861;-0,120044;-0,42274;3,26231;-0,0607932;-0,18977;-0,017074;0,00988888;-0,072532;-0,00387255;-0,185217;-0,0179195;0;-0,177889;0,0846674;3,66919;0,0289725;0,0137881;-0,00689384;0,0700866;0,0769044;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,86261;0,064069;;-0,108105;219;-148;2554;130;-0,0355431;-0,123624;-0,00856812;-0,00912107;-0,0326684;-0,00127502;-1,69597;-0,11906;0,108105;-0,0252019;-0,0661365;-0,0087868;-0,0258946;-0,0658065;-0,00923861;-0,0258946;-0,0658065;-0,00923861;-1,69014;-0,113764;0,108105;-0,0187507;-0,00738277;-0,00923861;-0,120044;-0,42274;3,26231;-0,0607449;-0,18976;-0,0173549;0,00988888;-0,072532;-0,00387255;-0,185217;-0,0179195;0;-0,192901;0,0803864;3,66876;0,0314159;0,01309;-0,00689384;0,0700866;0,0769044;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,87241;0,0660477;;-0,113361;219;-143;2554;134;-0,0357723;-0,11938;-0,0087475;-0,00947164;-0,0338383;-0,00136074;-1,69557;-0,110826;0,113361;-0,0190572;-0,0721122;-0,00926142;-0,0202274;-0,0717481;-0,00960091;-0,0202274;-0,0717481;-0,00960091;-1,69284;-0,106567;0,113361;-0,00864806;0,00159986;-0,00960091;-0,120091;-0,408637;3,25974;-0,0548295;-0,191493;-0,0180089;0,0102826;-0,0680112;-0,00374332;-0,186821;-0,0187816;0;-0,192912;0,0803908;3,66842;0,0314159;0,01309;-0,0119524;0,0652694;0,0771451;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
7,87268;0,0660477;;-0,113361;219;-143;2554;134;-0,0357436;-0,119381;-0,00882403;-0,00948125;-0,0338705;-0,00136312;-1,69557;-0,110826;0,113361;-0,0190572;-0,0721122;-0,00926142;-0,0202274;-0,0717481;-0,00960091;-0,0202274;-0,0717481;-0,00960091;-1,69284;-0,106567;0,113361;-0,00864806;0,00159986;-0,00960091;-0,120091;-0,408637;3,25974;-0,0548008;-0,191494;-0,0180855;0,0102826;-0,0680112;-0,00374332;-0,186821;-0,0187816;0;-0,20149;0,0803937;3,6682;0,0328122;0,01309;-0,0119524;0,0652694;0,0771451;-1200;1200;-500;1700;0;0;-10;0;0;0;250;1,2;0,2;177;-1,2;-1;2550;0,07
