time ;e1;e2;ctrlpitch;ctrlroll;ctrlthrust;ctrlyaw;edx;edy;edz;cumulx;cumuly;cumulz;x_pred;y_pred;z_pred;dxr_pred;dyr_pred;dzr_pred;dxrT;dyrT;dzrT;dxrUn;dyrUn;dzrUn;x;y;z;dx;dy;dz;ux;uy;uz;dxd;dyd;dzd;Perpx;Tangx;Perpy;Tangy;Perpz;Tanz;ax;ay;az;pitch;roll;yaw;yawd;eyaw;kpvx;kpvy;kpvz;kpyaw;kivx;kivy;kivz;kdvx;kdvy;kdvz;kdyaw;ktg;veld;pitchoff;ke1;ke2;gravity;thr_vel
7,6939;0,643233;-0,00567355;23;54;2450;168;0,142004;0,050218;0,00429224;0,0277797;0,00477107;-0,00479921;-1,83007;-0,15683;0,00567355;0,0557927;-0,0229253;-0,0157582;0,056158;-0,0234942;-0,0134545;0,056158;-0,0234942;-0,0227461;-1,83769;-0,148303;0,00684989;0,0194884;-0,0259941;0,206577;0,395488;0,138769;0,65272;0,197797;0,0272927;-0,011466;0,0341836;0,164331;0,088086;-0,0637721;-0,000833404;0;0,780232;0,144331;3,68385;-0,05044;0,0235619;-0,0163452;0,0854874;0,101657;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,70393;0,643233;-0,00567355;23;54;2500;168;0,142004;0,050206;0,00426366;0,0292043;0,00527473;-0,00475643;-1,83007;-0,15683;0,00567355;0,0557927;-0,0229253;-0,0157582;0,056158;-0,0234942;-0,0134545;0,056158;-0,0234942;-0,0227461;-1,83769;-0,148303;0,00684989;0,0194884;-0,0259941;0,206577;0,395488;0,138769;0,65272;0,197797;0,0272807;-0,0114946;0,0341836;0,164331;0,088086;-0,0637721;-0,000833404;0;0,780241;0,150746;3,68378;-0,05044;0,0246091;-0,0163452;0,0854874;0,101657;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,70508;0,631895;-0,00567355;16;29;2548;164;0,148723;0,0272744;0,0137624;0,0293746;0,00530596;-0,00474068;-1,8354;-0,149891;0,00567355;0,0489584;0,000823593;-0,0252745;0,0501859;0,000625181;-0,0227461;0,0501859;0,000625181;-0,0227461;-1,83736;-0,148511;0,0144197;-0,0013384;-0,00458524;0,245036;0,458015;0,0825654;0,0179178;0,197681;0,028098;-0,0115121;0,0327117;0,165701;0,0872547;-0,0621211;-0,000836673;0;0,780245;0,150747;3,68375;-0,05044;0,0246091;-0,0163433;0,0814859;0,0976732;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,71389;0,631895;-0,00567355;16;29;2548;164;0,148725;0,0272633;0,0137675;0,0306847;0,00554613;-0,0046194;-1,8354;-0,149891;0,00567355;0,0489584;0,000823593;-0,0252745;0,0501859;0,000625181;-0,0227461;0,0501859;0,000625181;-0,0227461;-1,83736;-0,148511;0,0144197;-0,0013384;-0,00458524;0,245036;0,458015;0,0825654;0,0179178;0,197683;0,0280869;-0,0115071;0,0327117;0,165701;0,0872547;-0,0621211;-0,000836673;0;0,777735;0,156867;3,69515;-0,0502655;0,0256563;-0,0163433;0,0814859;0,0976732;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,72395;0,631895;-0,00567355;16;29;2548;164;0,148727;0,0272561;0,0137824;0,0321811;0,00582035;-0,00448073;-1,8354;-0,149891;0,00567355;0,0489584;0,000823593;-0,0252745;0,0501859;0,000625181;-0,0227461;0,0501859;0,000625181;-0,0227461;-1,83736;-0,148511;0,0144197;-0,0013384;-0,00458524;0,245036;0,458015;0,0825654;0,0179178;0,197685;0,0280797;-0,0114922;0,0327117;0,165701;0,0872547;-0,0621211;-0,000836673;0;0,776675;0,161135;3,69516;-0,0500909;0,0263545;-0,0163433;0,0814859;0,0976732;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,73302;0,611258;-0,00700135;35;-4;2582;162;0,130886;-0,00436221;-0,0548201;0,0333691;0,00578075;-0,00497834;-1,83346;-0,141871;0,00700135;0,0670056;0,0308728;0,0431555;0,0651979;0,0286632;0,0472539;0,0651979;0,0286632;0,0577631;-1,83736;-0,148511;0,0532791;-0,0013384;0,018576;0,355868;0,409429;-0,0115406;-0,0691115;0,197892;0,0265106;-0,0116646;0,0313843;0,16722;0,0851787;-0,0616125;-0,00103975;0;0,776672;0,161134;3,69518;-0,0500909;0,0263545;-0,0163433;0,0772248;0,0934316;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,73394;0,611258;-0,00700135;35;-4;2582;162;0,130888;-0,00437349;-0,0548133;0,0334894;0,00577673;-0,00502871;-1,83346;-0,141871;0,00700135;0,0670056;0,0308728;0,0431555;0,0651979;0,0286632;0,0472539;0,0651979;0,0286632;0,0577631;-1,83736;-0,148511;0,0532791;-0,0013384;0,018576;0,355868;0,409429;-0,0115406;-0,0691115;0,197894;0,0264993;-0,0116578;0,0313843;0,16722;0,0851787;-0,0616125;-0,00103975;0;0,786056;0,169791;3,61285;-0,0499164;0,0274017;-0,0163433;0,0772248;0,0934316;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,74399;0,611258;-0,00700135;35;-4;2582;162;0,130894;-0,00438479;-0,0547421;0,0348042;0,00573269;-0,00557859;-1,83346;-0,141871;0,00700135;0,0670056;0,0308728;0,0431555;0,0651979;0,0286632;0,0472539;0,0651979;0,0286632;0,0577631;-1,83736;-0,148511;0,0532791;-0,0013384;0,018576;0,355868;0,409429;-0,0115406;-0,0691115;0,197899;0,026488;-0,0115866;0,0313843;0,16722;0,0851787;-0,0616125;-0,00103975;0;0,782836;0,177359;3,61286;-0,0493928;0,0286234;-0,0163433;0,0772248;0,0934316;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,75392;0,611258;-0,00700135;35;-4;2582;162;0,130903;-0,00439781;-0,0546111;0,0361037;0,00568903;-0,00612072;-1,83346;-0,141871;0,00700135;0,0670056;0,0308728;0,0431555;0,0651979;0,0286632;0,0472539;0,0651979;0,0286632;0,0577631;-1,83736;-0,148511;0,0532791;-0,0013384;0,018576;0,355868;0,409429;-0,0115406;-0,0691115;0,197909;0,026475;-0,0114556;0,0313843;0,16722;0,0851787;-0,0616125;-0,00103975;0;0,777462;0,187087;3,61293;-0,0485202;0,0301942;-0,0163433;0,0772248;0,0934316;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
7,76391;0,611258;-0,00700135;35;-4;2582;162;0,130909;-0,00440459;-0,0545306;0,0374125;0,005645;-0,00666591;-1,83346;-0,141871;0,00700135;0,0670056;0,0308728;0,0431555;0,0651979;0,0286632;0,0472539;0,0651979;0,0286632;0,0577631;-1,83736;-0,148511;0,0532791;-0,0013384;0,018576;0,355868;0,409429;-0,0115406;-0,0691115;0,197914;0,0264682;-0,0113751;0,0313843;0,16722;0,0851787;-0,0616125;-0,00103975;0;0,774225;0,192488;3,61308;-0,0479966;0,0310669;-0,0163433;0,0772248;0,0934316;-1080;1080;-500;1700;-10;10;-10;-0;0;-0;250;1,2;0,2;177;-1,2;-1;2555;0,07
