time 	e1	e2	ctrlpitch	ctrlroll	ctrlthrust	ctrlyaw	ex	ey	ez	dex	dey	dez	cumulx	cumuly	cumulz	x	y	z	xp	yp	zp	xgoal	ygoal	zgoal	dxr	dyr	dzr	dxd	dyd	dzd	pitch	roll	yaw	kpx	kpy	kpz	kix	kiy	kiz	kdx	kdy	kdz	ktg	dist	step	pitchoff	ke1	ke2	gravity
1.35488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29309	-0.61002	0.0022527	0	0	0	0	0	0	0.117246	-0.130259	0.07	0	0	0	0	0	0.0228298	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.38083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29602	-0.59929	0.0230987	0	0	0	0	0	0	0.0488625	-0.0586792	0.14	0	0	0	0	0	0.0228298	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.41748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29602	-0.595787	0.0230987	0	0	0	0	0	0	-0.0195214	0.0129005	0.07	0	0	0	0	0	0.0228298	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.44535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29868	-0.586313	0.0165329	0	0	0	0	0	0	-0.0879488	0.0844348	0	0	0	0	0	0	0.0223136	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.48696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29791	-0.568297	0.00139216	0	0	0	0	0	0	-0.0162568	0.152871	-0.07	0	0	0	0	0	0.0232791	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.51104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29868	-0.560506	-0.0242598	0	0	0	0	0	0	-0.0856279	0.224095	-0.14	0	0	0	0	0	0.0187338	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.55007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.29791	-0.568297	-0.0320004	0	0	0	0	0	0	-0.0162568	0.152871	-0.21	0	0	0	0	0	0.0232791	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.57896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.2873	-0.664445	-0.0320004	0	0	0	0	0	0	0.0541096	0.0799335	-0.14	0	0	0	0	0	0.0482755	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.61194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664606	-0.0227182	0	0	0	0	0	0	0.12068	0.0060664	-0.07	0	0	0	0	0	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.63593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664606	-0.0227182	0	0	0	0	0	0	0.12068	0.0060664	-0.07	0	0	0	0	0	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.64474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664445	-0.00808374	0	0	0	0	0	0	0.0770344	0.00149947	0	0	0	0	0	0	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.64573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664445	-0.00808374	0	0	0	0	0	0	0.0770344	0.00149947	0	0	0	0	0	0	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.6558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664445	-0.00808374	0	0	0	0	0	0	0.0770262	0.0015578	0.00104742	0	0	0	0.0146608	0.0535816	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.66576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664445	-0.00808374	0	0	0	0	0	0	0.077026	0.00155852	0.00106084	0	0	0	0.0148353	0.0535816	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.67576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28508	-0.664445	-0.00808374	0	0	0	0	0	0	0.0770258	0.00155924	0.00107427	0	0	0	0.0150098	0.0535816	0.0530045	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.68276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	0.0213157	0	0	0	0	0	0	0.139023	0.0744474	0.0682055	0	0	0	0.0150098	0.0535816	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.68575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	0.0213157	0	0	0	0	0	0	0.139023	0.0744474	0.0682055	0	0	0	0.0150098	0.0535816	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.6959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	0.0213157	0	0	0	0	0	0	0.139011	0.0744487	0.0682298	0	0	0	0.0151844	0.0535816	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.70579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	0.0213157	0	0	0	0	0	0	0.139011	0.0744487	0.0682298	0	0	0	0.0151844	0.0535816	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.71065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	-0.00808374	0	0	0	0	0	0	0.0725906	0.142964	-0.00656365	0	0	0	0.0151844	0.0535816	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.71579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	-0.00808374	0	0	0	0	0	0	0.0725904	0.142966	-0.00652605	0	0	0	0.0153589	0.0534071	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.72574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	-0.00808374	0	0	0	0	0	0	0.0725904	0.142966	-0.00652605	0	0	0	0.0153589	0.0534071	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.73573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.601141	-0.00808374	0	0	0	0	0	0	0.0725902	0.142967	-0.00648845	0	0	0	0.0155334	0.0532325	0.0352331	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.74308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.59162	-0.0311161	0	0	0	0	0	0	0.130003	0.207246	-0.079128	0	0	0	0.0155334	0.0532325	0.0352775	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
1.74575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.28181	-0.59162	-0.0311161	0	0	0	0	0	0	0.130003	0.207246	-0.079128	0	0	0	0.0155334	0.0532325	0.0352775	-150	150	-200	-0	0	-0	-600	600	-600	0.2	0.2	0.18	174	-1	-1	2561	
